Name,Unique-ID,mean_decision_days
Nandurbar,468,71.49920729290527
Dhule,461,72.78628447024674
Jalgaon,474,101.14154627098787
Buldana,472,64.96832818703132
Akola,457,68.3224877139468
Amravati,467,91.11407274895647
Wardha,470,113.81663258350376
Nagpur,483,63.39569754970712
Bhandara,476,67.40120620333143
Gondiya,466,96.79448673112528
Gadchiroli,473,89.47050938337802
Chandrapur,456,47.73962023522743
Yavatmal,459,68.92800756059594
Nanded,460,66.6293006993007
Parbhani,458,83.65609731777843
Jalna,478,75.91020347979946
Aurangabad,166,59.45068261399851
Aurangabad,471,59.45068261399851
Aurangabad,166,99.65892696122631
Aurangabad,471,99.65892696122631
Nashik,452,77.68304892913112
Thane,479,85.95652936021035
Pune,465,53.40621973826191
Ahmadnagar,449,58.1490903103647
Bid,477,82.18903303172354
Latur,450,68.89801053707636
Osmanabad,453,62.024011299435024
Solapur,451,67.47678416104046
Satara,462,38.4676512371256
Ratnagiri,469,78.34456721915286
Sindhudurg,454,84.47221369358306
Kolhapur,455,82.21157637410299
Sangli,463,77.31339532545866
Washim,448,95.59474178403757
Mumbai,481,63.88606352970034
Anantapur,132,110.96349153667444
Chittoor,127,131.63719234275297
East Godavari,124,99.8533639645553
Guntur,130,120.24183006535948
Kadapa(YSR),134,79.06867716395338
Kurnool,129,119.62876891907996
Krishna,123,87.35116004718836
Sri Potti Sriramulu Nellore,126,141.4042279411765
Prakasam,122,89.33764976400823
Srikakulam,128,82.85665155541659
Visakhapatnam,125,69.74707955689829
Vizianagaram,131,87.72690272690274
West Godavari,133,124.1200278440732
Belgaum,444,65.73685681124532
Bagalkot,437,66.69222151088348
Bijapur,428,65.94446255133303
Gulbarga,434,67.03740025583237
Bidar,432,60.02757373095056
Raichur,426,81.34163673278151
Koppal,445,67.60566119273984
Gadag,435,60.53164426059979
Dharwad,431,44.89381290473589
Uttara Kannada,429,75.70323325635104
Haveri,424,68.6569455800854
Bellary,440,53.07573529411765
Chitradurga,423,76.1853129311426
Davanagere,430,55.92188263395038
Shimoga,439,73.84646670055922
Udupi,436,53.62004827488286
Chikmagalur,422,68.62622793706574
Tumkur,443,48.08663410460266
