state_code,dist_code,year,state_name,district_name,judges_count
1,1,2018,Maharashtra,Nandurbar,43
1,2,2018,Maharashtra,Dhule,123
1,3,2018,Maharashtra,Jalgaon,1
1,4,2018,Maharashtra,Buldhana,105
1,5,2018,Maharashtra,Akola,158
1,7,2018,Maharashtra,Amravati,219
1,8,2018,Maharashtra,Wardha,147
1,9,2018,Maharashtra,Nagpur,450
1,10,2018,Maharashtra,Bhandara,50
1,11,2018,Maharashtra,Gondia,43
1,12,2018,Maharashtra,Gadchiroli,28
1,13,2018,Maharashtra,Chandrapur,128
1,14,2018,Maharashtra,Yavatmal,123
1,15,2018,Maharashtra,Nanded,123
1,17,2018,Maharashtra,Parbhani,150
1,18,2018,Maharashtra,Jalna,103
1,19,2018,Maharashtra,Aurangabad,383
1,20,2018,Maharashtra,Nashik,269
1,21,2018,Maharashtra,Thane,362
1,23,2018,Maharashtra,Mumbai CMM Courts,52
1,24,2018,Maharashtra,Raigad,87
1,25,2018,Maharashtra,Pune,422
1,26,2018,Maharashtra,Ahmednagar,495
1,27,2018,Maharashtra,Beed,145
1,28,2018,Maharashtra,Latur,163
1,29,2018,Maharashtra,Osmanabad,125
1,30,2018,Maharashtra,Solapur,258
1,31,2018,Maharashtra,Satara,181
1,32,2018,Maharashtra,Ratnagiri,99
1,33,2018,Maharashtra,Sindhudurg,15
1,34,2018,Maharashtra,Kolhapur,262
1,36,2018,Maharashtra,Washim,52
1,37,2018,Maharashtra,Mumbai City Civil Court,267
1,38,2018,Maharashtra,Mumbai Small Causes Court,104
1,39,2018,Maharashtra,Mumbai Motor Accident Claims T,16
1,40,2018,Maharashtra,Maharashtra Industrial and Lab,116
1,41,2018,Maharashtra,Mah State Cooperative Appellat,18
1,42,2018,Maharashtra,Maharashtra-Family Courts,30
1,43,2018,Maharashtra,Maharashtra-School Tribunals,3
2,2,2018,Andhra Pradesh,Ananthapur,63
2,3,2018,Andhra Pradesh,Chittoor,93
