year,state_code,state_name,dist_code,district_name
2010,29,Telangana,1,Adilabad
2010,13,Uttar Pradesh,30,Agra
2010,17,Gujarat,13,Ahmedabad
2010,1,Maharashtra,26,Ahmednagar
2010,19,Mizoram,1,Aizawl
2010,9,Rajasthan,14,Ajmer
2010,1,Maharashtra,5,Akola
2010,4,Kerala,6,Alappuzha
2010,13,Uttar Pradesh,43,Aligarh
2010,23,Madhya Pradesh,8,Alirajpur
2010,13,Uttar Pradesh,1,Allahabad
2010,15,Uttarakhand,7,Almora
2010,9,Rajasthan,2,Alwar
2010,14,Haryana,3,Ambala
2010,13,Uttar Pradesh,15,Ambedkar Nagar
2010,1,Maharashtra,7,Amravati
2010,17,Gujarat,17,Amreli
2010,22,Punjab,8,Amritsar
2010,17,Gujarat,18,Anand
2010,2,Andhra Pradesh,2,Ananthapur
2010,12,Jammu and Kashmir,4,Anantnag
2010,11,Orissa,27,Anugul
2010,23,Madhya Pradesh,22,Anuppur
2010,8,Bihar,24,Araria
2010,17,Gujarat,38,Aravalli at Modasa
2010,10,Tamil Nadu,30,Ariyalur
2010,23,Madhya Pradesh,48,Ashoknagr
2010,13,Uttar Pradesh,17,Auraiya
2010,8,Bihar,16,Aurangabad
2010,1,Maharashtra,19,Aurangabad
2010,13,Uttar Pradesh,44,Azamgarh
2010,3,Karnataka,2,BAGALKOT
2010,3,Karnataka,12,BALLARI
2010,3,Karnataka,1,BELAGAVI
2010,3,Karnataka,20,BENGALURU
2010,3,Karnataka,21,BENGALURU RURAL
2010,3,Karnataka,5,BIDAR
2010,17,Gujarat,43,BOTAD
2010,15,Uttarakhand,14,Bageshwar
2010,13,Uttar Pradesh,45,Baghpat
2010,13,Uttar Pradesh,7,Bahraich
2010,6,Assam,27,Baksa
2010,23,Madhya Pradesh,26,Balaghat
2010,11,Orissa,17,Balangir
2010,11,Orissa,5,Balasore
2010,13,Uttar Pradesh,21,Ballia
2010,18,Chhattisgarh,19,Balod
2010,18,Chhattisgarh,23,Balodabazar
2010,9,Rajasthan,27,Balotra Barmer
2010,13,Uttar Pradesh,67,Balrampur
2010,18,Chhattisgarh,25,Balrampur Ramanujganj
2010,17,Gujarat,19,Banaskanth at Palanpur
2010,13,Uttar Pradesh,39,Banda
2010,12,Jammu and Kashmir,18,Bandipora
2010,8,Bihar,7,Banka
2010,16,West Bengal,19,Bankura
2010,9,Rajasthan,25,Banswara
2010,13,Uttar Pradesh,36,Barabanki
2010,12,Jammu and Kashmir,3,Baramulla
2010,9,Rajasthan,12,Baran
2010,13,Uttar Pradesh,2,Bareilly
2010,11,Orissa,29,Bargarh
2010,22,Punjab,16,Barnala
2010,6,Assam,20,Barpeta
2010,23,Madhya Pradesh,18,Barwani
2010,18,Chhattisgarh,15,Bastar
2010,13,Uttar Pradesh,46,Basti
2010,22,Punjab,17,Bathinda
2010,1,Maharashtra,27,Beed
2010,8,Bihar,6,Begusarai
2010,18,Chhattisgarh,20,Bemetara
2010,8,Bihar,28,Bettiah
2010,23,Madhya Pradesh,37,Betul
2010,13,Uttar Pradesh,22,Bhadohi SR Nagar
2010,11,Orissa,18,Bhadrak
2010,8,Bihar,34,Bhagalpur
2010,1,Maharashtra,10,Bhandara
2010,9,Rajasthan,13,Bharatpur
2010,17,Gujarat,20,Bharuch
2010,17,Gujarat,21,Bhavnagar
2010,9,Rajasthan,31,Bhilwara
2010,23,Madhya Pradesh,29,Bhind
2010,14,Haryana,4,Bhiwani
2010,8,Bihar,33,Bhojpur
2010,23,Madhya Pradesh,50,Bhopal
2010,13,Uttar Pradesh,47,Bijnor
2010,9,Rajasthan,6,Bikaner
2010,18,Chhattisgarh,2,Bilaspur
2010,5,Himachal Pradesh,7,Bilaspur
2010,16,West Bengal,8,Birbhum
2010,25,Manipur,3,Bishnupur
2010,7,Jharkhand,1,Bokaro
2010,6,Assam,9,Bongaigaon
2010,11,Orissa,24,Boudh
2010,13,Uttar Pradesh,18,Budaun
2010,12,Jammu and Kashmir,8,Budgam
2010,13,Uttar Pradesh,48,Bulandshahr
2010,1,Maharashtra,4,Buldhana
2010,9,Rajasthan,10,Bundi
2010,23,Madhya Pradesh,49,Burhanpur
2010,8,Bihar,26,Buxar
2010,3,Karnataka,27,CHAMRAJNAGAR
2010,3,Karnataka,29,CHIKKABALLAPUR
2010,3,Karnataka,17,CHIKKAMAGALURU
2010,3,Karnataka,13,CHITRADURGA
2010,6,Assam,13,Cachar
2010,16,West Bengal,3,Calcutta
2010,26,Delhi,8,Central
2010,5,Himachal Pradesh,8,Chamba
2010,15,Uttarakhand,8,Chamoli
2010,15,Uttarakhand,13,Champawat
2010,13,Uttar Pradesh,75,Chandauli
2014,25,Manipur,8,Chandel
2010,27,Chandigarh,1,Chandigarh
2010,1,Maharashtra,13,Chandrapur
2010,7,Jharkhand,13,Chatra
2010,10,Tamil Nadu,13,Chennai
2010,23,Madhya Pradesh,39,Chhatarpur
2010,23,Madhya Pradesh,20,Chhindwara
2010,17,Gujarat,41,Chhota Udepur
2010,6,Assam,25,Chirang
2010,13,Uttar Pradesh,5,Chitrakoot
2010,2,Andhra Pradesh,3,Chittoor
2010,9,Rajasthan,30,Chittorgarh
2010,25,Manipur,6,Churachandpur
2010,9,Rajasthan,33,Churu
2010,10,Tamil Nadu,18,Coimbatore
2010,16,West Bengal,6,Coochbehar
2010,10,Tamil Nadu,20,Cuddalore
2010,11,Orissa,1,Cuttack
2010,3,Karnataka,24,DAKSHINA KANNADA
2010,3,Karnataka,14,DAVANGERE
2010,3,Karnataka,9,DHARWAD
2010,17,Gujarat,22,Dahod
2010,7,Jharkhand,17,Daltonganj
2010,31,Diu and Daman,2,Daman
2010,23,Madhya Pradesh,27,Damoh
2010,18,Chhattisgarh,17,Dantewada
2010,8,Bihar,17,Darbhanga
2010,16,West Bengal,17,Darjeeling
2010,6,Assam,8,Darrang
2010,23,Madhya Pradesh,13,Datia
2010,9,Rajasthan,3,Dausa
2010,15,Uttarakhand,5,Dehradun
2010,11,Orissa,30,Deogarh
2010,7,Jharkhand,16,Deoghar
2010,13,Uttar Pradesh,41,Deoria
2010,17,Gujarat,40,Devbhumi Dwarka at Khambhaliya
2010,23,Madhya Pradesh,40,Dewas
2010,20,Tripura,11,Dhalai Tripura
2010,18,Chhattisgarh,5,Dhamtari
2010,7,Jharkhand,9,Dhanbad
2010,23,Madhya Pradesh,38,Dhar
2010,10,Tamil Nadu,1,Dharmapuri
2010,6,Assam,17,Dhemaji
2010,11,Orissa,7,Dhenkanal
2010,9,Rajasthan,34,Dholpur
2010,6,Assam,16,Dhubri
2010,1,Maharashtra,2,Dhule
2010,6,Assam,7,Dibrugarh
2010,6,Assam,28,Dima Hasao
2010,10,Tamil Nadu,27,Dindigul
2010,23,Madhya Pradesh,6,Dindori
2010,31,Diu and Daman,1,Diu
2010,12,Jammu and Kashmir,15,Doda
2010,7,Jharkhand,2,Dumka
2010,9,Rajasthan,24,Dungarpur
2010,18,Chhattisgarh,7,Durg
2010,26,Delhi,3,East
2010,21,Meghalaya,4,East Garo Hills
2010,2,Andhra Pradesh,4,East Godavari
2010,21,Meghalaya,1,East Khasi Hills
2010,7,Jharkhand,11,East Singhbhum at Jamshedpur
