district_name,state_name
Adilabad,Telangana
Agra,Uttar Pradesh
Ahmedabad,Gujarat
Ahmednagar,Maharashtra
Aizawl,Mizoram
Ajmer,Rajasthan
Akola,Maharashtra
Alappuzha,Kerala
Aligarh,Uttar Pradesh
Alirajpur,Madhya Pradesh
Allahabad,Uttar Pradesh
Almora,Uttarakhand
Alwar,Rajasthan
Ambala,Haryana
Ambedkar Nagar,Uttar Pradesh
Amravati,Maharashtra
Amreli,Gujarat
Amritsar,Punjab
Anand,Gujarat
Ananthapur,Andhra Pradesh
Anantnag,Jammu and Kashmir
Anugul,Orissa
Anuppur,Madhya Pradesh
Araria,Bihar
Aravalli at Modasa,Gujarat
Ariyalur,Tamil Nadu
Ashoknagr,Madhya Pradesh
Auraiya,Uttar Pradesh
Aurangabad,Bihar
Aurangabad,Maharashtra
Azamgarh,Uttar Pradesh
BAGALKOT,Karnataka
BALLARI,Karnataka
BELAGAVI,Karnataka
BENGALURU,Karnataka
BENGALURU RURAL,Karnataka
BIDAR,Karnataka
BOTAD,Gujarat
Bageshwar,Uttarakhand
Baghpat,Uttar Pradesh
Bahraich,Uttar Pradesh
Baksa,Assam
Balaghat,Madhya Pradesh
Balangir,Orissa
Balasore,Orissa
Ballia,Uttar Pradesh
Balod,Chhattisgarh
Balodabazar,Chhattisgarh
Balotra Barmer,Rajasthan
Balrampur,Uttar Pradesh
Balrampur Ramanujganj,Chhattisgarh
Banaskanth at Palanpur,Gujarat
Banda,Uttar Pradesh
Bandipora,Jammu and Kashmir
Banka,Bihar
Bankura,West Bengal
Banswara,Rajasthan
Barabanki,Uttar Pradesh
Baramulla,Jammu and Kashmir
Baran,Rajasthan
Bareilly,Uttar Pradesh
Bargarh,Orissa
Barnala,Punjab
Barpeta,Assam
Barwani,Madhya Pradesh
Bastar,Chhattisgarh
Basti,Uttar Pradesh
Bathinda,Punjab
Beed,Maharashtra
Begusarai,Bihar
Bemetara,Chhattisgarh
Bettiah,Bihar
Betul,Madhya Pradesh
Bhadohi SR Nagar,Uttar Pradesh
Bhadrak,Orissa
Bhagalpur,Bihar
Bhandara,Maharashtra
Bharatpur,Rajasthan
Bharuch,Gujarat
Bhavnagar,Gujarat
Bhilwara,Rajasthan
Bhind,Madhya Pradesh
Bhiwani,Haryana
Bhojpur,Bihar
Bhopal,Madhya Pradesh
Bijnor,Uttar Pradesh
Bikaner,Rajasthan
Bilaspur,Chhattisgarh
Bilaspur,Himachal Pradesh
Birbhum,West Bengal
Bishnupur,Manipur
Bokaro,Jharkhand
Bongaigaon,Assam
Boudh,Orissa
Budaun,Uttar Pradesh
Budgam,Jammu and Kashmir
Bulandshahr,Uttar Pradesh
Buldhana,Maharashtra
Bundi,Rajasthan
Burhanpur,Madhya Pradesh
Buxar,Bihar
CHAMRAJNAGAR,Karnataka
CHIKKABALLAPUR,Karnataka
CHIKKAMAGALURU,Karnataka
CHITRADURGA,Karnataka
Cachar,Assam
Calcutta,West Bengal
Central,Delhi
Chamba,Himachal Pradesh
Chamoli,Uttarakhand
Champawat,Uttarakhand
Chandauli,Uttar Pradesh
Chandel,Manipur
Chandigarh,Chandigarh
Chandrapur,Maharashtra
Chatra,Jharkhand
Chennai,Tamil Nadu
Chhatarpur,Madhya Pradesh
Chhindwara,Madhya Pradesh
Chhota Udepur,Gujarat
Chirang,Assam
Chitrakoot,Uttar Pradesh
Chittoor,Andhra Pradesh
Chittorgarh,Rajasthan
Churachandpur,Manipur
Churu,Rajasthan
Coimbatore,Tamil Nadu
Coochbehar,West Bengal
Cuddalore,Tamil Nadu
Cuttack,Orissa
DAKSHINA KANNADA,Karnataka
DAVANGERE,Karnataka
DHARWAD,Karnataka
Dahod,Gujarat
Daltonganj,Jharkhand
Daman,Diu and Daman
Damoh,Madhya Pradesh
Dantewada,Chhattisgarh
Darbhanga,Bihar
Darjeeling,West Bengal
Darrang,Assam
Datia,Madhya Pradesh
Dausa,Rajasthan
Dehradun,Uttarakhand
Deogarh,Orissa
Deoghar,Jharkhand
Deoria,Uttar Pradesh
Devbhumi Dwarka at Khambhaliya,Gujarat
Dewas,Madhya Pradesh
Dhalai Tripura,Tripura
Dhamtari,Chhattisgarh
Dhanbad,Jharkhand
Dhar,Madhya Pradesh
Dharmapuri,Tamil Nadu
Dhemaji,Assam
Dhenkanal,Orissa
Dholpur,Rajasthan
Dhubri,Assam
Dhule,Maharashtra
Dibrugarh,Assam
Dima Hasao,Assam
Dindigul,Tamil Nadu
Dindori,Madhya Pradesh
Diu,Diu and Daman
Doda,Jammu and Kashmir
Dumka,Jharkhand
Dungarpur,Rajasthan
Durg,Chhattisgarh
East,Delhi
East Garo Hills,Meghalaya
East Godavari,Andhra Pradesh
East Khasi Hills,Meghalaya
East Singhbhum at Jamshedpur,Jharkhand
Ernakulam,Kerala
Erode,Tamil Nadu
Etah,Uttar Pradesh
Etawah,Uttar Pradesh
Faizabad,Uttar Pradesh
Faridabad,Haryana
Faridkot,Punjab
Farrukhabad,Uttar Pradesh
Fatehabad,Haryana
Fatehgarh Sahib,Punjab
Fatehpur,Uttar Pradesh
Fazilka,Punjab
Ferozepur,Punjab
Firozabad,Uttar Pradesh
GADAG,Karnataka
GANDHINAGAR,Gujarat
Gadchiroli,Maharashtra
Gajapati,Orissa
Ganderbal,Jammu and Kashmir
Ganganagar,Rajasthan
Gangtok,Sikkim
Ganjam,Orissa
Garhwa,Jharkhand
Gautam Buddha Nagar,Uttar Pradesh
Gaya,Bihar
Ghaziabad,Uttar Pradesh
Ghazipur,Uttar Pradesh
Gir Somnath at Veraval,Gujarat
Giridih,Jharkhand
Goalpara,Assam
Godda,Jharkhand
Golaghat,Assam
Gomati District,Tripura
Gonda,Uttar Pradesh
Gondia,Maharashtra
Gopalganj,Bihar
Gorakhpur,Uttar Pradesh
Gumla,Jharkhand
Guna,Madhya Pradesh
Guntur,Andhra Pradesh
Gurdaspur,Punjab
Gurugram,Haryana
Gwalior,Madhya Pradesh
Gyalshing,Sikkim
HASSAN,Karnataka
HAVERI,Karnataka
Hailakandi,Assam
Hamirpur,Himachal Pradesh
Hamirpur,Uttar Pradesh
Hanumangarh,Rajasthan
Hapur,Uttar Pradesh
Harda,Madhya Pradesh
Hardoi,Uttar Pradesh
Haridwar,Uttarakhand
Hathras,Uttar Pradesh
Hazaribagh,Jharkhand
Hisar,Haryana
Hooghly,West Bengal
Hoshangabad,Madhya Pradesh
Hoshiarpurr,Punjab
Howrah,West Bengal
Hyderabad,Telangana
Idukki,Kerala
Imphal East,Manipur
Imphal West,Manipur
Indore,Madhya Pradesh
Jabalpur,Madhya Pradesh
Jagatsinghpur,Orissa
Jaipur District,Rajasthan
Jaipur Metro,Rajasthan
Jaipur Metro II,Rajasthan
Jaiselmer,Rajasthan
Jajpur,Orissa
Jalandhar,Punjab
Jalaun,Uttar Pradesh
Jalgaon,Maharashtra
Jalna,Maharashtra
Jalore,Rajasthan
Jalpaiguri,West Bengal
Jammu,Jammu and Kashmir
Jamnagar,Gujarat
Jamtara,Jharkhand
Jamui,Bihar
Janjgir,Chhattisgarh
Jashpur,Chhattisgarh
Jaunpur,Uttar Pradesh
Jehanabad,Bihar
Jhabua,Madhya Pradesh
Jhajjar,Haryana
Jhalawar,Rajasthan
Jhansi,Uttar Pradesh
Jhargram,West Bengal
Jharsuguda,Orissa
Jhunjhunu,Rajasthan
Jind,Haryana
Jodhpur District,Rajasthan
Jodhpur Metro,Rajasthan
Jorhat,Assam
Junagadh,Gujarat
Jyotiba Phule Nagar,Uttar Pradesh
KALABURAGI,Karnataka
KHUNTI,Jharkhand
KODAGU,Karnataka
KOLAR,Karnataka
KOPPAL,Karnataka
Kadapa,Andhra Pradesh
Kaimur at Bhabhua,Bihar
Kaithal,Haryana
Kalahandi,Orissa
Kamrup,Assam
Kamrup Metro,Assam
Kancheepuram,Tamil Nadu
Kandhamal,Orissa
Kangra,Himachal Pradesh
Kanker,Chhattisgarh
Kannauj,Uttar Pradesh
Kanniyakumari,Tamil Nadu
Kannur,Kerala
Kanpur Dehat,Uttar Pradesh
Kanpur Nagar,Uttar Pradesh
Kanshi Ram Nagar,Uttar Pradesh
Kapurthala,Punjab
Karauli,Rajasthan
Karbi Anglong,Assam
Kargil,Jammu and Kashmir
Karimganj,Assam
Karimnagar,Telangana
Karnal,Haryana
Karur,Tamil Nadu
