year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days,case_pendency_rate
2010,26.0,1.0,20,2,22,187.0,93.5,0.9090909090909091
2010,26.0,2.0,12,0,12,0.0,,1.0
2010,26.0,3.0,56,2,58,187.0,93.5,0.9655172413793104
2010,26.0,4.0,72,1,73,0.0,0.0,0.9863013698630136
2010,26.0,5.0,30,0,30,0.0,,1.0
2010,26.0,6.0,25,0,25,0.0,,1.0
2010,26.0,8.0,23,4,27,640.0,160.0,0.8518518518518519
2010,26.0,9.0,80,4,84,239.0,59.75,0.9523809523809523
2010,26.0,10.0,31,0,31,0.0,,1.0
2010,26.0,11.0,22,0,22,0.0,,1.0
2011,26.0,1.0,44,0,44,0.0,,1.0
2011,26.0,2.0,80,0,80,0.0,,1.0
2011,26.0,3.0,80,0,80,0.0,,1.0
2011,26.0,4.0,97,3,100,531.0,177.0,0.97
2011,26.0,5.0,64,1,65,150.0,150.0,0.9846153846153847
2011,26.0,6.0,52,2,54,56.0,28.0,0.9629629629629629
2011,26.0,7.0,7,0,7,0.0,,1.0
2011,26.0,8.0,46,5,51,576.0,115.2,0.9019607843137255
2011,26.0,9.0,108,4,112,881.0,220.25,0.9642857142857143
2011,26.0,10.0,48,0,48,0.0,,1.0
2011,26.0,11.0,50,0,50,0.0,,1.0
2012,26.0,1.0,43,0,43,0.0,,1.0
2012,26.0,2.0,82,1,83,269.0,269.0,0.9879518072289156
2012,26.0,3.0,122,0,122,0.0,,1.0
2012,26.0,4.0,192,4,196,258.0,64.5,0.9795918367346939
2012,26.0,5.0,91,0,91,0.0,,1.0
2012,26.0,6.0,64,10,74,1138.0,113.8,0.8648648648648649
2012,26.0,7.0,15,0,15,0.0,,1.0
2012,26.0,8.0,57,10,67,727.0,72.7,0.8507462686567164
2012,26.0,9.0,226,0,226,0.0,,1.0
2012,26.0,10.0,76,0,76,0.0,,1.0
2012,26.0,11.0,69,0,69,0.0,,1.0
2013,26.0,1.0,96,0,96,0.0,,1.0
2013,26.0,2.0,178,0,178,0.0,,1.0
2013,26.0,3.0,149,0,149,0.0,,1.0
2013,26.0,4.0,245,1,246,154.0,154.0,0.9959349593495935
2013,26.0,5.0,239,0,239,0.0,,1.0
2013,26.0,6.0,94,0,94,0.0,,1.0
2013,26.0,7.0,66,0,66,0.0,,1.0
2013,26.0,8.0,121,9,130,743.0,82.55555555555556,0.9307692307692308
2013,26.0,9.0,346,4,350,191.0,47.75,0.9885714285714285
2013,26.0,10.0,103,0,103,0.0,,1.0
2013,26.0,11.0,96,0,96,0.0,,1.0
2014,26.0,1.0,240,1,241,126.0,126.0,0.995850622406639
2014,26.0,2.0,466,14,480,1337.0,95.5,0.9708333333333333
2014,26.0,3.0,281,0,281,0.0,,1.0
2014,26.0,4.0,321,1,322,291.0,291.0,0.9968944099378882
2014,26.0,5.0,396,1,397,7.0,7.0,0.9974811083123426
2014,26.0,6.0,236,1,237,1.0,1.0,0.9957805907172996
2014,26.0,7.0,32,0,32,0.0,,1.0
2014,26.0,8.0,180,5,185,120.0,24.0,0.972972972972973
2014,26.0,9.0,538,10,548,1568.0,156.8,0.9817518248175182
2014,26.0,10.0,174,0,174,0.0,,1.0
2014,26.0,11.0,171,1,172,77.0,77.0,0.9941860465116279
2015,26.0,1.0,279,10,289,1727.0,172.7,0.9653979238754326
2015,26.0,2.0,592,11,603,1632.0,148.36363636363637,0.9817578772802653
2015,26.0,3.0,422,0,422,0.0,,1.0
2015,26.0,4.0,369,13,382,2274.0,174.92307692307693,0.9659685863874345
2015,26.0,5.0,509,25,534,3262.0,130.48,0.9531835205992509
2015,26.0,6.0,376,2,378,279.0,139.5,0.9947089947089947
2015,26.0,7.0,27,2,29,204.0,102.0,0.9310344827586207
2015,26.0,8.0,276,6,282,1270.0,211.66666666666666,0.9787234042553191
2015,26.0,9.0,816,14,830,1468.0,104.85714285714286,0.983132530120482
2015,26.0,10.0,294,0,294,0.0,,1.0
2015,26.0,11.0,258,2,260,146.0,73.0,0.9923076923076923
2016,26.0,1.0,434,46,480,6522.0,141.7826086956522,0.9041666666666667
2016,26.0,2.0,674,92,766,11348.0,123.34782608695652,0.8798955613577023
2016,26.0,3.0,596,101,697,12704.0,125.78217821782178,0.8550932568149211
2016,26.0,4.0,394,16,410,1248.0,78.0,0.9609756097560975
2016,26.0,5.0,699,119,818,15523.0,130.4453781512605,0.8545232273838631
2016,26.0,6.0,668,97,765,12439.0,128.23711340206185,0.873202614379085
2016,26.0,7.0,157,27,184,1744.0,64.5925925925926,0.8532608695652174
2016,26.0,8.0,462,76,538,9955.0,130.98684210526315,0.8587360594795539
2016,26.0,9.0,899,111,1010,15851.0,142.80180180180182,0.8900990099009901
2016,26.0,10.0,444,61,505,8462.0,138.72131147540983,0.8792079207920792
2016,26.0,11.0,484,49,533,5653.0,115.36734693877551,0.9080675422138836
2017,26.0,1.0,456,32,488,3199.0,99.96875,0.9344262295081968
2017,26.0,2.0,852,99,951,16349.0,165.14141414141415,0.8958990536277602
2017,26.0,3.0,538,113,651,15714.0,139.06194690265488,0.82642089093702
2017,26.0,4.0,436,43,479,5084.0,118.23255813953489,0.9102296450939458
2017,26.0,5.0,747,145,892,15817.0,109.08275862068966,0.8374439461883408
2017,26.0,6.0,592,163,755,18344.0,112.5398773006135,0.7841059602649006
2017,26.0,7.0,162,19,181,2576.0,135.57894736842104,0.8950276243093923
2017,26.0,8.0,407,92,499,10936.0,118.8695652173913,0.8156312625250501
2017,26.0,9.0,1071,158,1229,20721.0,131.14556962025316,0.871440195280716
2017,26.0,10.0,585,121,706,16507.0,136.4214876033058,0.8286118980169972
2017,26.0,11.0,881,177,1058,25226.0,142.51977401129943,0.832703213610586
2018,26.0,1.0,516,43,559,6390.0,148.6046511627907,0.9230769230769231
2018,26.0,2.0,861,203,1064,27467.0,135.30541871921181,0.8092105263157895
2018,26.0,3.0,680,116,796,13555.0,116.85344827586206,0.8542713567839196
2018,26.0,4.0,827,73,900,10681.0,146.31506849315068,0.9188888888888889
2018,26.0,5.0,376,130,506,16321.0,125.54615384615384,0.7430830039525692
2018,26.0,6.0,830,198,1028,22989.0,116.10606060606061,0.8073929961089494
2018,26.0,7.0,275,17,292,3224.0,189.64705882352942,0.9417808219178082
2018,26.0,8.0,356,93,449,12024.0,129.29032258064515,0.7928730512249443
2018,26.0,9.0,961,124,1085,18678.0,150.6290322580645,0.8857142857142857
2018,26.0,10.0,384,153,537,19641.0,128.37254901960785,0.7150837988826816
2018,26.0,11.0,661,237,898,33250.0,140.29535864978902,0.7360801781737194
