year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days,case_pendency_rate
2010,26,1,7001,4121,11122,364683.0,88.49381218150934,0.6294731163459809
2010,26,2,2520,685,3205,54981.0,80.26423357664234,0.7862714508580343
2010,26,3,4889,1960,6849,183133.0,93.43520408163265,0.7138268360344576
2010,26,4,4744,2142,6886,146996.0,68.62558356676004,0.6889340691257624
2010,26,5,6926,4016,10942,313479.0,78.05751992031873,0.6329738621824164
2010,26,6,10584,2800,13384,336950.0,120.33928571428571,0.7907949790794979
2010,26,7,3071,2389,5460,125455.0,52.513604018417745,0.5624542124542125
2010,26,8,11493,4041,15534,337622.0,83.54912150457807,0.7398609501738123
2010,26,9,7536,2789,10325,221150.0,79.29365363929723,0.7298789346246973
2010,26,10,4779,835,5614,64875.0,77.69461077844312,0.8512646954043462
2010,26,11,3844,1669,5513,89535.0,53.64589574595566,0.6972610194086705
2011,26,1,6737,3443,10180,296979.0,86.255881498693,0.6617878192534381
2011,26,2,3596,748,4344,65994.0,88.22727272727273,0.8278084714548803
2011,26,3,5317,1413,6730,126817.0,89.75017692852087,0.7900445765230312
2011,26,4,5418,2251,7669,166440.0,73.94047090182141,0.7064806363280741
2011,26,5,7593,5761,13354,318469.0,55.280159694497485,0.5685936797963157
2011,26,6,10853,2968,13821,265737.0,89.53402964959568,0.7852543231314666
2011,26,7,3616,969,4585,66444.0,68.56965944272446,0.7886586695747001
2011,26,8,13883,5376,19259,411718.0,76.5844494047619,0.7208577807778181
2011,26,9,7852,3077,10929,225175.0,73.18004549886253,0.7184554854058011
2011,26,10,5361,2398,7759,210691.0,87.86113427856547,0.6909395540662456
2011,26,11,4660,697,5357,56935.0,81.6857962697274,0.8698898637296995
2012,26,1,6614,3312,9926,300522.0,90.7373188405797,0.6663308482772516
2012,26,2,4248,777,5025,67175.0,86.45431145431145,0.8453731343283583
2012,26,3,6310,1578,7888,136333.0,86.39607097591889,0.7999492900608519
2012,26,4,7242,2473,9715,190591.0,77.06874241811565,0.7454451878538343
2012,26,5,7865,4566,12431,267299.0,58.54117389399912,0.6326924623924061
2012,26,6,12110,4476,16586,414604.0,92.62823949955317,0.7301338478234656
2012,26,7,3830,1151,4981,57522.0,49.975673327541266,0.7689219032322827
2012,26,8,14845,6185,21030,479584.0,77.53985448666128,0.7058963385639563
2012,26,9,8732,2851,11583,206667.0,72.48930199929849,0.7538634205300871
2012,26,10,5625,2808,8433,253454.0,90.26139601139602,0.6670224119530416
2012,26,11,5142,1584,6726,89597.0,56.56376262626262,0.7644959857270295
2013,26,1,5308,3510,8818,317689.0,90.50968660968661,0.6019505556815604
2013,26,2,7083,1801,8884,120790.0,67.0682953914492,0.7972760018009906
2013,26,3,8058,2248,10306,220895.0,98.26290035587189,0.7818746361342908
2013,26,4,7456,3219,10675,221792.0,68.90090090090091,0.6984543325526932
2013,26,5,9093,4108,13201,235034.0,57.21372930866602,0.6888114536777517
2013,26,6,20676,3018,23694,362216.0,120.01855533465871,0.8726259812610787
2013,26,7,8955,2803,11758,255777.0,91.25115947199428,0.7616091171968021
2013,26,8,16772,7002,23774,589340.0,84.16738074835762,0.7054765710439976
2013,26,9,11469,2992,14461,260454.0,87.05013368983957,0.7930986792061406
2013,26,10,6087,3268,9355,237803.0,72.7671358629131,0.6506680919294495
2013,26,11,8800,2955,11755,217559.0,73.62402707275804,0.7486176095278605
2014,26,1,5514,2386,7900,220667.0,92.48407376362113,0.6979746835443038
2014,26,2,9451,2434,11885,193910.0,79.66721446179129,0.795204038704249
2014,26,3,9278,2319,11597,259153.0,111.7520482966796,0.8000344916788825
2014,26,4,9443,3284,12727,234759.0,71.48568818514008,0.74196589926927
2014,26,5,12032,5211,17243,311618.0,59.800038380349264,0.697790407701676
2014,26,6,10530,9587,20117,1382062.0,144.16000834463335,0.5234378883531342
2014,26,7,11886,4804,16690,437015.0,90.96898417985012,0.7121629718394248
2014,26,8,21387,7667,29054,521198.0,67.97939220033912,0.7361120671852412
2014,26,9,15142,4792,19934,321860.0,67.1661101836394,0.759606702116986
2014,26,10,7293,2925,10218,274192.0,93.7408547008547,0.7137404580152672
2014,26,11,10915,3957,14872,462159.0,116.79529946929492,0.733929532006455
2015,26,1,5225,3110,8335,296043.0,95.19067524115755,0.626874625074985
2015,26,2,12228,2893,15121,258851.0,89.47493950916004,0.8086766748230937
2015,26,3,11304,2948,14252,337310.0,114.41994572591588,0.7931518383384788
2015,26,4,13220,6478,19698,522393.0,80.64109292991664,0.6711341252919079
2015,26,5,13759,6626,20385,512772.0,77.38786598249321,0.6749570762815796
2015,26,6,15017,3430,18447,350260.0,102.11661807580175,0.8140619070851629
2015,26,7,17973,4123,22096,528302.0,128.13533834586465,0.8134051412020276
2015,26,8,24714,10161,34875,944718.0,92.97490404487748,0.7086451612903226
2015,26,9,19616,4420,24036,254072.0,57.48235294117647,0.8161091695789648
2015,26,10,10752,2513,13265,283889.0,112.96816553919618,0.8105540897097625
2015,26,11,15244,4078,19322,447170.0,109.65424227562531,0.7889452437635855
2016,26,1,5857,4481,10338,205178.0,45.78844008033921,0.5665505900561036
2016,26,2,13445,8145,21590,391207.0,48.030325352977286,0.6227420101899027
2016,26,3,12818,6829,19647,439309.0,64.3299165324352,0.6524151269913981
2016,26,4,15638,12506,28144,773824.0,61.87621941468095,0.5556424104604889
2016,26,5,20385,8769,29154,499821.0,56.99863154293534,0.6992179460794402
2016,26,6,23328,10464,33792,792229.0,75.70995795107034,0.6903409090909091
2016,26,7,26780,10322,37102,894233.0,86.63369502034489,0.7217939733707078
2016,26,8,33323,15860,49183,1132190.0,71.38650693568727,0.6775308541569242
2016,26,9,23650,9811,33461,688614.0,70.18795229844052,0.7067929828755865
2016,26,10,17170,5458,22628,462962.0,84.82264565775009,0.7587944140003535
2016,26,11,15771,7632,23403,562980.0,73.76572327044025,0.6738879630816562
2017,26,1,6545,5105,11650,187477.0,36.724191968658175,0.5618025751072961
2017,26,2,15118,7585,22703,365205.0,48.148319050758076,0.665903184601154
2017,26,3,12266,7078,19344,377351.0,53.31322407459734,0.6340984284532671
2017,26,4,15439,14149,29588,680623.0,48.10396494451905,0.5217993781262674
2017,26,5,26283,11834,38117,579078.0,48.93341220212946,0.6895348532151009
2017,26,6,32459,24385,56844,1445740.0,59.28808693869182,0.571018928998663
2017,26,7,22290,13019,35309,868414.0,66.70358706505876,0.6312838086606815
2017,26,8,32510,21645,54155,1450574.0,67.01658581658582,0.6003139137660419
2017,26,9,21735,12221,33956,648759.0,53.08559037721954,0.6400930616091413
2017,26,10,24015,13840,37855,757927.0,54.763511560693644,0.6343943996830009
2017,26,11,24298,23203,47501,964710.0,41.57695125630306,0.5115260731353024
2018,26,1,7414,6323,13737,274644.0,43.435710896726235,0.5397102715294461
2018,26,2,15701,9778,25479,476768.0,48.75925547146656,0.616232976176459
2018,26,3,13015,10555,23570,372676.0,35.30800568450971,0.5521849809079338
2018,26,4,16967,11524,28491,536614.0,46.56490801804929,0.5955213927205082
