year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2011.0,1.0,1.0,0,6,6,5484.0,914.0
2011.0,1.0,2.0,4,55,59,61038.0,1109.7818181818182
2011.0,1.0,3.0,5,105,110,134761.0,1283.4380952380952
2011.0,1.0,4.0,1,40,41,60588.0,1514.7
2011.0,1.0,5.0,2,40,42,64661.0,1616.525
2011.0,1.0,7.0,9,271,280,248329.0,916.3431734317343
2011.0,1.0,8.0,1,57,58,46952.0,823.719298245614
2011.0,1.0,9.0,0,22,22,20026.0,910.2727272727273
2011.0,1.0,10.0,0,3,3,5445.0,1815.0
2011.0,1.0,11.0,0,10,10,10678.0,1067.8
2011.0,1.0,12.0,0,10,10,10516.0,1051.6
2011.0,1.0,13.0,3,32,35,37187.0,1162.09375
2011.0,1.0,14.0,9,42,51,43840.0,1043.8095238095239
2011.0,1.0,15.0,0,18,18,26816.0,1489.7777777777778
2011.0,1.0,17.0,1,2,3,3978.0,1989.0
2011.0,1.0,18.0,0,61,61,64931.0,1064.4426229508197
2011.0,1.0,19.0,5,34,39,44332.0,1303.8823529411766
2011.0,1.0,20.0,2,114,116,125000.0,1096.4912280701753
2011.0,1.0,21.0,34,236,270,285255.0,1208.707627118644
2011.0,1.0,23.0,75,927,1002,856799.0,924.2707659115426
2011.0,1.0,24.0,0,32,32,27367.0,855.21875
2011.0,1.0,25.0,28,232,260,261708.0,1128.051724137931
2011.0,1.0,26.0,12,184,196,166342.0,904.0326086956521
2011.0,1.0,27.0,5,72,77,99681.0,1384.4583333333333
2011.0,1.0,28.0,1,35,36,47473.0,1356.3714285714286
2011.0,1.0,29.0,2,70,72,51138.0,730.5428571428571
2011.0,1.0,30.0,5,95,100,78940.0,830.9473684210526
2011.0,1.0,31.0,2,62,64,58124.0,937.483870967742
2011.0,1.0,32.0,0,13,13,17439.0,1341.4615384615386
2011.0,1.0,33.0,0,35,35,13653.0,390.0857142857143
2011.0,1.0,34.0,3,11,14,13317.0,1210.6363636363637
2011.0,1.0,35.0,14,247,261,276864.0,1120.906882591093
2011.0,1.0,36.0,1,100,101,80114.0,801.14
2011.0,1.0,37.0,100,176,276,101951.0,579.2670454545455
2011.0,1.0,42.0,1,2,3,1450.0,725.0
2011.0,2.0,2.0,1,16,17,5958.0,372.375
2011.0,2.0,3.0,2,59,61,49342.0,836.3050847457627
2011.0,2.0,4.0,1,18,19,19523.0,1084.611111111111
2011.0,2.0,5.0,0,113,113,93426.0,826.7787610619469
2011.0,2.0,7.0,0,34,34,22514.0,662.1764705882352
2011.0,2.0,10.0,1,17,18,11660.0,685.8823529411765
2011.0,2.0,11.0,0,201,201,162431.0,808.1144278606965
2011.0,2.0,15.0,1,8,9,6379.0,797.375
2011.0,2.0,17.0,0,32,32,17465.0,545.78125
2011.0,2.0,19.0,0,10,10,13694.0,1369.4
2011.0,2.0,20.0,3,152,155,146786.0,965.6973684210526
2011.0,2.0,21.0,0,7,7,8752.0,1250.2857142857142
2011.0,2.0,23.0,3,56,59,31293.0,558.8035714285714
2011.0,3.0,1.0,1,15,16,15368.0,1024.5333333333333
2011.0,3.0,2.0,1,9,10,5034.0,559.3333333333334
2011.0,3.0,3.0,0,15,15,13601.0,906.7333333333333
2011.0,3.0,4.0,1,0,1,0.0,
2011.0,3.0,6.0,1,1,2,458.0,458.0
2011.0,3.0,8.0,0,16,16,6990.0,436.875
2011.0,3.0,9.0,2,13,15,18689.0,1437.6153846153845
2011.0,3.0,10.0,0,2,2,1110.0,555.0
2011.0,3.0,11.0,1,7,8,3522.0,503.14285714285717
2011.0,3.0,12.0,0,3,3,2789.0,929.6666666666666
2011.0,3.0,13.0,0,9,9,8556.0,950.6666666666666
2011.0,3.0,14.0,0,8,8,4726.0,590.75
2011.0,3.0,15.0,0,3,3,3447.0,1149.0
2011.0,3.0,16.0,0,9,9,7856.0,872.8888888888889
2011.0,3.0,18.0,0,14,14,6412.0,458.0
2011.0,3.0,19.0,0,1,1,58.0,58.0
2011.0,3.0,20.0,4,117,121,130843.0,1118.3162393162393
2011.0,3.0,21.0,2,26,28,35217.0,1354.5
2011.0,3.0,22.0,0,8,8,2805.0,350.625
2011.0,3.0,23.0,0,8,8,8198.0,1024.75
2011.0,3.0,24.0,0,14,14,10793.0,770.9285714285714
2011.0,3.0,26.0,0,19,19,21974.0,1156.5263157894738
2011.0,3.0,28.0,0,3,3,2884.0,961.3333333333334
2011.0,4.0,1.0,0,70,70,73173.0,1045.3285714285714
2011.0,4.0,2.0,4,168,172,93538.0,556.7738095238095
2011.0,4.0,3.0,0,41,41,53806.0,1312.341463414634
2011.0,4.0,4.0,4,51,55,38757.0,759.9411764705883
2011.0,4.0,5.0,5,67,72,48515.0,724.1044776119403
2011.0,4.0,6.0,1,125,126,77469.0,619.752
2011.0,4.0,7.0,0,55,55,27839.0,506.1636363636364
2011.0,4.0,8.0,3,97,100,119129.0,1228.1340206185566
2011.0,4.0,9.0,15,85,100,119997.0,1411.729411764706
2011.0,4.0,10.0,0,52,52,40938.0,787.2692307692307
2011.0,4.0,11.0,0,87,87,63895.0,734.4252873563219
2011.0,4.0,12.0,1,93,94,61355.0,659.7311827956989
2011.0,4.0,15.0,8,50,58,66735.0,1334.7
2011.0,4.0,16.0,0,175,175,64686.0,369.63428571428574
2011.0,5.0,2.0,0,2,2,3167.0,1583.5
2011.0,5.0,4.0,2,4,6,8341.0,2085.25
2011.0,5.0,6.0,1,0,1,0.0,
2011.0,5.0,9.0,1,0,1,0.0,
2011.0,5.0,11.0,3,4,7,9951.0,2487.75
2011.0,6.0,1.0,2,29,31,20297.0,699.8965517241379
2011.0,6.0,2.0,0,8,8,6194.0,774.25
2011.0,6.0,4.0,0,2,2,369.0,184.5
2011.0,6.0,7.0,0,13,13,9685.0,745.0
2011.0,6.0,8.0,0,29,29,20375.0,702.5862068965517
2011.0,6.0,9.0,0,1,1,106.0,106.0
2011.0,6.0,10.0,0,108,108,52475.0,485.8796296296296
2011.0,6.0,13.0,0,3,3,2759.0,919.6666666666666
2011.0,6.0,18.0,0,12,12,11300.0,941.6666666666666
2011.0,6.0,19.0,0,2,2,362.0,181.0
2011.0,6.0,20.0,1,1,2,223.0,223.0
2011.0,6.0,21.0,0,27,27,17254.0,639.0370370370371
2011.0,7.0,6.0,0,1,1,860.0,860.0
2011.0,7.0,7.0,1,0,1,0.0,
2011.0,7.0,9.0,2,1,3,813.0,813.0
2011.0,7.0,12.0,0,22,22,21077.0,958.0454545454545
2011.0,7.0,15.0,0,1,1,1492.0,1492.0
2011.0,7.0,21.0,0,6,6,8254.0,1375.6666666666667
2011.0,7.0,22.0,0,1,1,2690.0,2690.0
2011.0,8.0,1.0,5,0,5,0.0,
2011.0,8.0,5.0,1,0,1,0.0,
2011.0,8.0,6.0,9,6,15,11173.0,1862.1666666666667
2011.0,8.0,9.0,3,4,7,10543.0,2635.75
2011.0,8.0,10.0,1,0,1,0.0,
2011.0,8.0,16.0,0,1,1,1109.0,1109.0
2011.0,8.0,20.0,1,0,1,0.0,
2011.0,8.0,25.0,0,1,1,2144.0,2144.0
2011.0,8.0,26.0,4,0,4,0.0,
2011.0,8.0,29.0,1,0,1,0.0,
2011.0,8.0,34.0,6,0,6,0.0,
2011.0,8.0,35.0,1,0,1,0.0,
2011.0,8.0,36.0,1,0,1,0.0,
2011.0,9.0,2.0,7,45,52,60809.0,1351.3111111111111
2011.0,9.0,4.0,22,18,40,32653.0,1814.0555555555557
2011.0,9.0,5.0,3,11,14,23503.0,2136.6363636363635
2011.0,9.0,7.0,0,6,6,13937.0,2322.8333333333335
2011.0,9.0,8.0,0,4,4,6208.0,1552.0
2011.0,9.0,11.0,1,4,5,9363.0,2340.75
2011.0,9.0,12.0,6,20,26,24439.0,1221.95
2011.0,9.0,13.0,14,35,49,37881.0,1082.3142857142857
2011.0,9.0,14.0,3,29,32,49251.0,1698.3103448275863
2011.0,9.0,18.0,1,34,35,51373.0,1510.9705882352941
2011.0,9.0,19.0,1,0,1,0.0,
2011.0,9.0,20.0,5,5,10,11985.0,2397.0
2011.0,9.0,22.0,0,1,1,2405.0,2405.0
2011.0,9.0,23.0,0,2,2,4656.0,2328.0
2011.0,9.0,25.0,0,4,4,8857.0,2214.25
2011.0,9.0,28.0,4,22,26,42257.0,1920.7727272727273
2011.0,9.0,33.0,2,1,3,1157.0,1157.0
2011.0,9.0,35.0,4,2,6,4218.0,2109.0
2011.0,9.0,36.0,0,1,1,1764.0,1764.0
2011.0,9.0,38.0,3,0,3,0.0,
2011.0,9.0,39.0,1,0,1,0.0,
2011.0,9.0,40.0,7,6,13,11913.0,1985.5
2011.0,10.0,1.0,2,1,3,2501.0,2501.0
2011.0,10.0,3.0,0,2,2,4995.0,2497.5
2011.0,10.0,4.0,0,2,2,4381.0,2190.5
2011.0,10.0,6.0,1,1,2,2032.0,2032.0
2011.0,10.0,7.0,0,1,1,1847.0,1847.0
2011.0,10.0,9.0,0,1,1,2249.0,2249.0
2011.0,10.0,10.0,1,1,2,1992.0,1992.0
