state_name,case_pendency_rate
Sikkim,0.0309734513274336
Diu and Daman,0.1041666666666666
Manipur,0.1599173553719008
Tripura,0.212973378327709
Kerala,0.2997839804445455
Ladakh,0.3
Gujarat,0.308166545566638
Karnataka,0.3316087841928559
Assam,0.3384183548938247
Uttarakhand,0.3596717090440939
Meghalaya,0.360655737704918
Andhra Pradesh,0.3860552979563799
Chandigarh,0.386161757830762
Punjab,0.3929699842022117
Himachal Pradesh,0.4019987105093488
Haryana,0.4065624661588997
Goa,0.4114326040931546
Maharashtra,0.4321964633056877
Telangana,0.4365120593692022
Rajasthan,0.4555485953837999
Jharkhand,0.4931945556445156
DNH at Silvasa,0.5
Delhi,0.5005446783453555
Tamil Nadu,0.5091018807201046
Chhattisgarh,0.5165187842174815
Madhya Pradesh,0.5196641729790578
West Bengal,0.6121677171827898
Jammu and Kashmir,0.6276923076923077
Uttar Pradesh,0.6317257639067205
Orissa,0.6930546036097784
Bihar,0.7090423757090424
Mizoram,1.0
