state_name,mean_disposition_days
Sikkim,127.36986301369863
Ladakh,233.0
Manipur,244.81947860304967
Meghalaya,275.64102564102564
Tripura,293.0871843735112
Jammu and Kashmir,316.67178276269186
DNH at Silvasa,339.0
Assam,357.4726065301605
Himachal Pradesh,365.9947888589398
Diu and Daman,415.90697674418607
Karnataka,426.9972826086956
Rajasthan,437.9257013895035
Goa,456.91007194244605
Chhattisgarh,457.0745802420929
Uttarakhand,489.96833375219904
Kerala,493.0170083214938
Punjab,500.1273352542058
Orissa,529.1674730182359
Haryana,530.7605231143552
Chandigarh,541.8461538461538
Uttar Pradesh,563.9734732038158
Gujarat,577.5791349734254
Bihar,578.3922018348624
Madhya Pradesh,581.6343130553657
Jharkhand,585.4834123222748
Tamil Nadu,586.4271665642286
West Bengal,590.3487846240814
Maharashtra,602.8902551971166
Telangana,664.6761490846833
Delhi,666.4109290261731
Andhra Pradesh,686.7025174825175
Mizoram,
