Name,Unique-ID,mean_disposition_days
Maharashtra,21,602.8902551971166
Andhra Pradesh,2,686.7025174825175
Karnataka,17,426.9972826086956
Kerala,18,493.0170083214938
Himachal Pradesh,14,365.9947888589398
Assam,4,357.4726065301605
Jharkhand,16,585.4834123222748
Bihar,5,578.3922018348624
Rajasthan,29,437.9257013895035
Tamil Nadu,31,586.4271665642286
Odisha,26,529.1674730182359
Jammu & Kashmir,15,316.67178276269186
Uttar Pradesh,34,563.9734732038158
Haryana,13,530.7605231143552
Uttarakhand,35,489.96833375219904
West Bengal,36,590.3487846240814
Gujarat,12,577.5791349734254
Chhattisgarh,7,457.0745802420929
Mizoram,24,
Tripura,33,293.0871843735112
Meghalaya,23,275.64102564102564
Punjab,28,500.1273352542058
Madhya Pradesh,20,581.6343130553657
Sikkim,30,127.36986301369863
Manipur,22,244.81947860304967
Delhi,10,666.4109290261731
Chandigarh,6,541.8461538461538
Telangana,32,664.6761490846833
Goa,11,456.91007194244605
Daman & Diu,9,415.90697674418607
Dadra & Nagar Haveli,8,339.0
Ladak,37,233.0
