state_name,total_cases
Mizoram,1
DNH at Silvasa,2
Ladakh,10
Diu and Daman,48
Meghalaya,183
Sikkim,226
Jharkhand,1249
Goa,1417
Chandigarh,2139
Jammu and Kashmir,2275
Manipur,2420
Tripura,2667
Bihar,2997
Chhattisgarh,5297
Uttarakhand,6214
Orissa,8754
Himachal Pradesh,9306
Tamil Nadu,9943
Andhra Pradesh,11646
Telangana,13475
Assam,16388
Punjab,17724
Karnataka,18169
West Bengal,18245
Haryana,27703
Delhi,33965
Kerala,35182
Rajasthan,41506
Madhya Pradesh,42641
Gujarat,45417
Uttar Pradesh,85678
Maharashtra,157831
