state_name,mean_disposition_days
Maharashtra,602.8902551971166
Andhra Pradesh,686.7025174825175
Karnataka,426.9972826086956
Kerala,493.0170083214938
Himachal Pradesh,365.9947888589398
Assam,357.4726065301605
Jharkhand,585.4834123222748
Bihar,578.3922018348624
Rajasthan,437.9257013895035
Tamil Nadu,586.4271665642286
Orissa,529.1674730182359
Jammu and Kashmir,316.67178276269186
Uttar Pradesh,563.9734732038158
Haryana,530.7605231143552
Uttarakhand,489.96833375219904
West Bengal,590.3487846240814
Gujarat,577.5791349734254
Chhattisgarh,457.0745802420929
Mizoram,
Tripura,293.0871843735112
Meghalaya,275.64102564102564
Punjab,500.1273352542058
Madhya Pradesh,581.6343130553657
Sikkim,127.36986301369863
Manipur,244.81947860304967
Delhi,666.4109290261731
Chandigarh,541.8461538461538
Telangana,664.6761490846833
Goa,456.91007194244605
Diu and Daman,415.90697674418607
DNH at Silvasa,339.0
Ladakh,233.0
