Name,Unique-ID,case_pendency_rate
Nandurbar,468,0.21338090217093
Dhule,461,0.2578956159270313
Jalgaon,474,0.2299208690617331
Buldana,472,0.312772886262212
Akola,457,0.3058317726063967
Amravati,467,0.2844997058359282
Wardha,470,0.2516894110469476
Nagpur,483,0.2610683270266166
Bhandara,476,0.2324123577722112
Gondiya,466,0.2860595710191912
Gadchiroli,473,0.1190199811177663
Chandrapur,456,0.3352573430342225
Yavatmal,459,0.2827896645907086
Nanded,460,0.3066654620197411
Parbhani,458,0.288173052475112
Jalna,478,0.2990880955716596
Aurangabad,166,0.282712106446415
Aurangabad,471,0.282712106446415
Aurangabad,166,0.286796292109428
Aurangabad,471,0.286796292109428
Nashik,452,0.327581776543566
Thane,479,0.420963157300642
Pune,465,0.3539011657434419
Ahmadnagar,449,0.3071584757891479
Bid,477,0.2357044314650782
Latur,450,0.278411730345554
Osmanabad,453,0.2694303199070524
Solapur,451,0.299645961550663
Satara,462,0.2653522960469648
Ratnagiri,469,0.2236182661600503
Sindhudurg,454,0.2112778410653258
Kolhapur,455,0.3437748818673954
Sangli,463,0.2617637094485088
Washim,448,0.2574000379003222
Mumbai,481,0.2509762454389753
Anantapur,132,0.2326633012085054
Chittoor,127,0.2787009757382351
East Godavari,124,0.2470321187248287
Guntur,130,0.2306686167493073
Kadapa(YSR),134,0.2488838338397813
Kurnool,129,0.3306181986236577
Krishna,123,0.2088226913814436
Sri Potti Sriramulu Nellore,126,0.299456314383823
Prakasam,122,0.2801200394535267
Srikakulam,128,0.2489990959576391
Visakhapatnam,125,0.2315545920707049
Vizianagaram,131,0.2675513038111402
West Godavari,133,0.2679726340088855
Belgaum,444,0.2171002979918616
Bagalkot,437,0.1705699054878834
Bijapur,428,0.2160853813362509
Gulbarga,434,0.1585342667012358
Bidar,432,0.1917335672041197
Raichur,426,0.1723360738848041
Koppal,445,0.2141913707073671
Gadag,435,0.1795123607221232
Dharwad,431,0.153111982852752
Uttara Kannada,429,0.1529778838212352
Haveri,424,0.1571685696294934
Bellary,440,0.1434548108897239
Chitradurga,423,0.1440749835100574
Davanagere,430,0.1411423247814247
Shimoga,439,0.1603389162306879
Udupi,436,0.1403054577708789
Chikmagalur,422,0.1665567940584119
Tumkur,443,0.1867977989038278
Kolar,427,0.1958162917025818
Bangalore,446,0.145874470424562
Bangalore Rural,442,0.3403755286468019
Mandya,418,0.2243460693771821
Hassan,438,0.155412254573242
Dakshina Kannada,425,0.206059751271436
Kodagu,441,0.1347604312720591
Mysore,419,0.2485214845841712
Chamarajanagar,433,0.2083329673900633
Ramanagara,447,0.2802907978398757
Chikkaballapura,420,0.253568016674869
Yadgir,421,0.1720022132637736
Kasaragod,363,0.1304935992696303
Ernakulam,361,0.3078780004651573
Kannur,358,0.1873035457242736
Thrissur,367,0.2726295818696548
Kozhikode,365,0.1433242030256955
Alappuzha,360,0.2336726250964843
Idukki,364,0.2042109762478536
Palakkad,368,0.2130897826066042
Thiruvananthapuram,369,0.4736021154257114
Kottayam,366,0.1852987702078658
Malappuram,370,0.1556493499978261
Pathanamthitta,359,0.3894431263310471
Lakshadweep,372,0.3266129032258064
Kollam,362,0.3524127466981857
Wayanad,371,0.1101913229241934
Hamirpur,62,0.2712411957184848
Hamirpur,606,0.2712411957184848
