Name,Unique-ID,cases_per_judge
Nandurbar,468,435.42767295597486
Dhule,461,317.28801843317973
Jalgaon,474,81605.25
Buldana,472,407.22003929273086
Akola,457,386.572
Amravati,467,393.1678420310296
Wardha,470,294.66791510611733
Nagpur,483,319.8482724086129
Bhandara,476,466.5174418604651
Gondiya,466,466.85135135135135
Gadchiroli,473,673.03125
Chandrapur,456,469.746835443038
Yavatmal,459,704.9517543859649
Nanded,460,634.2836676217765
Parbhani,458,350.7993138936535
Jalna,478,592.5811320754717
Aurangabad,166,281.0549152542373
Aurangabad,471,281.0549152542373
Aurangabad,166,425.2884615384616
Aurangabad,471,425.2884615384616
Nashik,452,336.86256643887623
Thane,479,442.9560606060606
Pune,465,552.0260798696006
Ahmadnagar,449,341.4864024864025
Bid,477,692.4910714285714
Latur,450,402.6277777777778
Osmanabad,453,553.6276041666666
Solapur,451,415.63818565400845
Satara,462,403.0928
Ratnagiri,469,231.2614555256065
Sindhudurg,454,688.027027027027
Kolhapur,455,371.368499257058
Washim,448,635.7831325301205
Mumbai,481,246.67523879500368
Anantapur,132,939.2241379310344
Chittoor,127,669.1024590163935
East Godavari,124,591.5552407932012
Guntur,130,621.4211822660099
Kadapa(YSR),134,643.7923497267759
Kurnool,129,545.2086614173228
Krishna,123,805.6698113207547
Sri Potti Sriramulu Nellore,126,635.3939393939394
Prakasam,122,441.212962962963
Srikakulam,128,458.8444444444444
Visakhapatnam,125,567.0685579196218
Vizianagaram,131,362.0670391061453
West Godavari,133,771.5572139303482
Belgaum,444,1444.123595505618
Bagalkot,437,985.5583756345178
Bijapur,428,1283.2185430463576
Gulbarga,434,1162.9145728643216
Bidar,432,1933.434782608696
Raichur,426,756.9868421052631
Koppal,445,2370.086956521739
Gadag,435,564.9246575342465
Dharwad,431,1480.6586826347304
Uttara Kannada,429,709.7662835249042
Haveri,424,1204.4093959731545
Bellary,440,957.6440129449838
Chitradurga,423,893.1336633663366
Davanagere,430,1468.842105263158
Shimoga,439,1278.7479338842977
Udupi,436,1734.4711538461538
Chikmagalur,422,776.2582159624413
Tumkur,443,1462.544
Kolar,427,1016.829411764706
Bangalore,446,2118.5935897435897
Bangalore Rural,442,2556.021126760563
Mandya,418,1442.274111675127
Hassan,438,1680.0786026200874
Dakshina Kannada,425,1137.1037735849056
Kodagu,441,641.3333333333334
Mysore,419,1333.920634920635
Chamarajanagar,433,1751.7076923076922
Ramanagara,447,1060.9590163934429
Chikkaballapura,420,1170.949152542373
Yadgir,421,878.5416666666666
Kasaragod,363,1172.3515625
Ernakulam,361,959.146153846154
Kannur,358,1556.16
Thrissur,367,3066.681818181818
Kozhikode,365,1458.835390946502
Alappuzha,360,1250.5625
Idukki,364,848.08125
Palakkad,368,2011.8129032258064
Thiruvananthapuram,369,1550.1640866873065
Kottayam,366,1712.2145748987857
Malappuram,370,1590.4202127659576
Pathanamthitta,359,1646.5733333333333
Lakshadweep,372,82.66666666666667
Kollam,362,2782.365979381443
Wayanad,371,1043.639344262295
Hamirpur,62,901.55
Hamirpur,606,901.55
Hamirpur,62,1047.3285714285714
Hamirpur,606,1047.3285714285714
Kangra,59,1398.3564356435645
Sirmaur,53,1087.3650793650793
Una,51,1066.14
Solan,52,1359.9651162790697
Mandi,61,927.5984848484848
Bilaspur,58,1257.5416666666667
Bilaspur,321,1257.5416666666667
Bilaspur,58,1131.909090909091
Bilaspur,321,1131.909090909091
Chamba,56,1773.9354838709678
Kinnaur,54,612.8301886792453
Kullu,55,1197.1159420289855
Shimla,57,1025.0280373831777
Kamrup Metropolitan,263,1402.9825581395348
Tinsukia,245,615.4328358208955
Sivasagar,243,574.5301204819277
Morigaon,249,788.6
Lakhimpur,251,884.9
Lakhimpur,251,1463.3235294117646
Sonitpur,260,928.625
Dibrugarh,258,1182.9636363636364
Darrang,256,893.0
Bongaigaon,252,339.1224489795918
Nagaon,254,1136.4392523364486
Jorhat,266,969.811320754717
Karimganj,244,667.6274509803922
Cachar,255,1323.909090909091
Nalbari,241,877.7906976744187
Dhubri,242,780.4246575342465
Dhemaji,248,259.4406779661017
Goalpara,240,679.3793103448276
Golaghat,262,496.6
Barpeta,259,673.2235294117647
Hailakandi,246,1270.4074074074074
Kokrajhar,265,1416.6666666666667
Kamrup,257,487.5161290322581
Udalguri,261,342.27272727272725
Chirang,247,390.0
Karbi Anglong West,693,929.25
Baksa,253,534.4
Dima Hasao,264,241.25
Bokaro,152,700.1315789473684
Dumka,151,399.5185185185185
Kodarma,144,649.1746031746031
Pashchimi Singhbhum,140,314.5731707317073
Gumla,154,326.34615384615387
Godda,148,505.56060606060606
Hazaribagh,141,554.2567567567568
Lohardaga,146,396.10869565217394
Dhanbad,150,622.7913043478261
Giridih,145,567.4957983193277
Purbi Singhbhum,143,756.8
Jamtara,135,413.6470588235294
Chatra,142,301.7457627118644
Pakur,158,360.0175438596491
Saraikela-Kharsawan,136,329.8645833333333
Deoghar,153,336.03053435114504
Palamu,149,625.4895833333334
Simdega,137,608.1052631578947
Latehar,138,378.8524590163934
Garhwa,156,635.3875
Sahibganj,147,339.2898550724637
Ranchi,157,345.1138888888889
Patna,182,2161.503225806452
Kaimur (Bhabua),186,343.4198113207547
Samastipur,185,854.175
Saran,171,683.722972972973
Katihar,196,54423.0
Begusarai,194,1489.0389610389611
Banka,165,926.5925925925926
Purnia,161,1209.9615384615386
Purba Champaran,191,985.1307692307691
Munger,189,736.6708860759494
Madhepura,162,1058.86
Rohtas,187,1476.3246753246754
Khagaria,188,743.5238095238095
Jamui,193,1661.46875
Darbhanga,184,1177.3653846153843
Madhubani,180,2440.5227272727275
Lakhisarai,192,829.8604651162791
Sheikhpura,172,957.0
Saharsa,174,984.05
Supaul,181,1403.5151515151515
Gopalganj,175,1009.6106194690266
Araria,168,1027.5897435897436
Kishanganj,163,666.5625
Buxar,179,516.6567164179105
Nawada,167,798.9821428571429
