Name,Unique-ID,mean_disposition_days
Nandurbar,468,425.1988799118619
Dhule,461,493.5898033075644
Jalgaon,474,487.8461590484147
Buldana,472,467.1173505563551
Akola,457,494.13604823623234
Amravati,467,501.87361243419406
Wardha,470,446.8024662699648
Nagpur,483,356.9543775941083
Bhandara,476,525.8258377711392
Gondiya,466,534.4581078067669
Gadchiroli,473,252.6400625428225
Chandrapur,456,469.3524075140057
Yavatmal,459,471.68134441972126
Nanded,460,499.54480714099554
Parbhani,458,515.6008861107294
Jalna,478,521.3883543659771
Aurangabad,166,402.0354255505186
Aurangabad,471,402.0354255505186
Aurangabad,166,597.2242510699001
Aurangabad,471,597.2242510699001
Nashik,452,473.0418849747081
Thane,479,490.3101481551494
Pune,465,470.2768893987103
Ahmadnagar,449,510.41083221948185
Bid,477,410.962844562907
Latur,450,483.6789408937643
Osmanabad,453,458.74726682720166
Solapur,451,455.50061060237647
Satara,462,471.9438735263288
Ratnagiri,469,399.1907313997478
Sindhudurg,454,354.90108822870235
Kolhapur,455,570.3454097591015
Sangli,463,470.063888372093
Washim,448,526.0325235409703
Mumbai,481,294.3923552289375
Anantapur,132,478.8869954227205
Chittoor,127,609.406589673913
East Godavari,124,507.4242657440503
Guntur,130,470.5562905718702
Kadapa(YSR),134,446.8335216742756
Kurnool,129,575.1631426783749
Krishna,123,540.5815482827007
Sri Potti Sriramulu Nellore,126,710.1560078970658
Prakasam,122,517.4029773877892
Srikakulam,128,545.3699914015477
Visakhapatnam,125,563.6547657152778
Vizianagaram,131,510.2044027807036
West Godavari,133,568.010402994935
Belgaum,444,363.2382414688381
Bagalkot,437,291.38144413119886
Bijapur,428,316.0430623584558
Gulbarga,434,312.6894141692172
Bidar,432,242.4002971387872
Raichur,426,332.81042219406504
Koppal,445,278.97493930338965
Gadag,435,275.9515759608707
Dharwad,431,270.4707798099422
Uttara Kannada,429,301.3781594544644
Haveri,424,338.7419934943009
Bellary,440,239.5129565773173
Chitradurga,423,268.8388550705867
Davanagere,430,256.1426530101381
Shimoga,439,285.39398242758017
Udupi,436,216.83811163558516
Chikmagalur,422,304.9919160546864
Tumkur,443,277.54187182177736
Kolar,427,333.14503783846
Bangalore,446,300.08194934977985
Bangalore Rural,442,309.3677688021586
Mandya,418,338.40876647684735
Hassan,438,261.39901521796
Dakshina Kannada,425,271.09123683330546
Kodagu,441,281.06913652682897
Mysore,419,364.49655117810994
