Name,Unique-ID,case_disposition_rate
Nandurbar,468,0.7873684816557998
Dhule,461,0.7422672182306408
Jalgaon,474,0.7702846228953241
Buldana,472,0.6881328862740947
Akola,457,0.6943895856813458
Amravati,467,0.7155594769272705
Wardha,470,0.7487194020633383
Nagpur,483,0.7451962820177831
Bhandara,476,0.7676079154620676
Gondiya,466,0.7140356207590028
Gadchiroli,473,0.8818304751367632
Chandrapur,456,0.6653072424312532
Yavatmal,459,0.718006861765819
Nanded,460,0.6952919155965115
Parbhani,458,0.7122293727600316
Jalna,478,0.7020540993174148
Aurangabad,166,0.7225470746708206
Aurangabad,471,0.7225470746708206
Aurangabad,166,0.7132166757098933
Aurangabad,471,0.7132166757098933
Nashik,452,0.674296177102056
Thane,479,0.5837207689744809
Pune,465,0.6483334311366704
Ahmadnagar,449,0.692899521356944
Bid,477,0.7649033237096432
Latur,450,0.7231582606150413
Osmanabad,453,0.7308684436801376
Solapur,451,0.7004718656451367
Satara,462,0.7360995424741137
Ratnagiri,469,0.7764781266383177
Sindhudurg,454,0.7904344437950517
Kolhapur,455,0.6564148295070561
Sangli,463,0.738699254614671
Washim,448,0.7427291581828341
Mumbai,481,0.75116945248361
Anantapur,132,0.7673822473188667
Chittoor,127,0.7213229214515389
East Godavari,124,0.7529844421140337
Guntur,130,0.7694045019950313
Kadapa(YSR),134,0.7511288406043116
Kurnool,129,0.6693985125279803
Krishna,123,0.7912139802066748
Sri Potti Sriramulu Nellore,126,0.7005551104498111
Prakasam,122,0.7199465685691706
Srikakulam,128,0.7510652033570046
Visakhapatnam,125,0.7684762944869155
Vizianagaram,131,0.7324569524162192
West Godavari,133,0.7320446441812332
Belgaum,444,0.7833173817072058
Bagalkot,437,0.8294634719068144
Bijapur,428,0.7842486576731628
Gulbarga,434,0.8416655158127331
Bidar,432,0.8086734464899604
Raichur,426,0.8280335792419232
Koppal,445,0.7868895844930962
Gadag,435,0.8206963366636392
Dharwad,431,0.8470129954095816
Uttara Kannada,429,0.8472924985316068
Haveri,424,0.8436885186847779
Bellary,440,0.8580794420800305
Chitradurga,423,0.8570470057031606
Davanagere,430,0.8594281125931212
Shimoga,439,0.8402099703722787
Udupi,436,0.8599747712259193
Chikmagalur,422,0.8338862616416542
Tumkur,443,0.8143153865393608
Kolar,427,0.8042244804710319
Bangalore,446,0.854776376295327
Bangalore Rural,442,0.6600543732492419
Mandya,418,0.776253992769139
Hassan,438,0.8448293312087861
Dakshina Kannada,425,0.7942372853272801
Kodagu,441,0.8665876890675857
Mysore,419,0.7520485526568855
Chamarajanagar,433,0.7922072233853378
Ramanagara,447,0.7208199950751046
Chikkaballapura,420,0.7466978028731103
Yadgir,421,0.8290275944433968
Kasaragod,363,0.8695203129060416
Ernakulam,361,0.6922460252085851
Kannur,358,0.8127102089973123
Thrissur,367,0.7274315235330837
Kozhikode,365,0.8567481306882901
Alappuzha,360,0.7664935324376967
Idukki,364,0.7958085862084211
Palakkad,368,0.7869819450143619
Thiruvananthapuram,369,0.5264555758800553
Kottayam,366,0.8147511648082528
Malappuram,370,0.8443782352233057
Pathanamthitta,359,0.6105663341322796
Lakshadweep,372,0.6733870967741935
Kollam,362,0.6476479609981626
Wayanad,371,0.8898406890649414
Hamirpur,62,0.731682896721986
Hamirpur,606,0.731682896721986
Hamirpur,62,0.6960913961636515
Hamirpur,606,0.6960913961636515
Kangra,59,0.6720985944356896
Sirmaur,53,0.782168259214024
Una,51,0.7745067860640829
Solan,52,0.7739882546625059
Mandi,61,0.7489729537768667
Bilaspur,58,0.7420039137656016
Bilaspur,321,0.7420039137656016
Bilaspur,58,0.7897425076942106
Bilaspur,321,0.7897425076942106
Chamba,56,0.8328851910100958
Kinnaur,54,0.7045187705090766
Kullu,55,0.772593847695869
