Name,Unique-ID,case_pendency_rate
Nandurbar,468,0.2126315183442002
Dhule,461,0.2577327817693591
Jalgaon,474,0.2297153771046759
Buldana,472,0.3118671137259052
Akola,457,0.3056104143186541
Amravati,467,0.2844405230727295
Wardha,470,0.2512805979366617
Nagpur,483,0.2548037179822169
Bhandara,476,0.2323920845379324
Gondiya,466,0.2859643792409971
Gadchiroli,473,0.1181695248632368
Chandrapur,456,0.3346927575687469
Yavatmal,459,0.281993138234181
Nanded,460,0.3047080844034885
Parbhani,458,0.2877706272399684
Jalna,478,0.2979459006825852
Aurangabad,166,0.2774529253291794
Aurangabad,471,0.2774529253291794
Aurangabad,166,0.2867833242901067
Aurangabad,471,0.2867833242901067
Nashik,452,0.325703822897944
Thane,479,0.4162792310255191
Pune,465,0.3516665688633296
Ahmadnagar,449,0.307100478643056
Bid,477,0.2350966762903568
Latur,450,0.2768417393849587
Osmanabad,453,0.2691315563198624
Solapur,451,0.2995281343548632
Satara,462,0.2639004575258863
Ratnagiri,469,0.2235218733616823
Sindhudurg,454,0.2095655562049483
Kolhapur,455,0.3435851704929439
Sangli,463,0.261300745385329
Washim,448,0.2572708418171659
Mumbai,481,0.24883054751639
Anantapur,132,0.2326177526811332
Chittoor,127,0.2786770785484612
East Godavari,124,0.2470155578859663
Guntur,130,0.2305954980049687
Kadapa(YSR),134,0.2488711593956883
Kurnool,129,0.3306014874720196
Krishna,123,0.2087860197933252
Sri Potti Sriramulu Nellore,126,0.2994448895501888
Prakasam,122,0.2800534314308294
Srikakulam,128,0.2489347966429954
Visakhapatnam,125,0.2315237055130845
Vizianagaram,131,0.2675430475837808
West Godavari,133,0.2679553558187668
Belgaum,444,0.2166826182927942
Bagalkot,437,0.1705365280931856
Bijapur,428,0.2157513423268372
Gulbarga,434,0.1583344841872669
Bidar,432,0.1913265535100395
Raichur,426,0.1719664207580768
Koppal,445,0.2131104155069038
Gadag,435,0.1793036633363608
Dharwad,431,0.1529870045904183
Uttara Kannada,429,0.1527075014683931
Haveri,424,0.1563114813152221
Bellary,440,0.1419205579199695
Chitradurga,423,0.1429529942968393
Davanagere,430,0.1405718874068787
Shimoga,439,0.1597900296277212
Udupi,436,0.1400252287740807
Chikmagalur,422,0.1661137383583458
Tumkur,443,0.1856846134606392
Kolar,427,0.1957755195289681
Bangalore,446,0.1452236237046729
Bangalore Rural,442,0.339945626750758
Mandya,418,0.223746007230861
Hassan,438,0.1551706687912139
Dakshina Kannada,425,0.2057627146727199
Kodagu,441,0.1334123109324143
Mysore,419,0.2479514473431144
Chamarajanagar,433,0.2077927766146622
Ramanagara,447,0.2791800049248953
Chikkaballapura,420,0.2533021971268896
Yadgir,421,0.1709724055566031
Kasaragod,363,0.1304796870939584
Ernakulam,361,0.3077539747914148
Kannur,358,0.1872897910026877
Thrissur,367,0.2725684764669162
Kozhikode,365,0.1432518693117098
Alappuzha,360,0.2335064675623033
Idukki,364,0.2041914137915788
Palakkad,368,0.213018054985638
Thiruvananthapuram,369,0.4735444241199447
Kottayam,366,0.1852488351917471
Malappuram,370,0.1556217647766943
Pathanamthitta,359,0.3894336658677204
Lakshadweep,372,0.3266129032258064
Kollam,362,0.3523520390018375
Wayanad,371,0.1101593109350586
Hamirpur,62,0.268317103278014
Hamirpur,606,0.268317103278014
Hamirpur,62,0.3039086038363485
Hamirpur,606,0.3039086038363485
Kangra,59,0.3279014055643104
Sirmaur,53,0.217831740785976
Una,51,0.2254932139359171
Solan,52,0.2260117453374941
Mandi,61,0.2510270462231334
Bilaspur,58,0.2579960862343984
Bilaspur,321,0.2579960862343984
Bilaspur,58,0.2102574923057893
Bilaspur,321,0.2102574923057893
Chamba,56,0.1671148089899041
Kinnaur,54,0.2954812294909233
Kullu,55,0.2274061523041309
Shimla,57,0.3168531669177247
Kamrup Metropolitan,263,0.207418810209554
Tinsukia,245,0.2043834553653687
Sivasagar,243,0.1144420452401417
Morigaon,249,0.2351001775297996
Lakhimpur,251,0.2340497641709266
Lakhimpur,251,0.4830321572646481
Sonitpur,260,0.1479239387799936
Dibrugarh,258,0.187272364033133
Darrang,256,0.2835507530373439
Bongaigaon,252,0.3374037536092396
Nagaon,254,0.2527173020720454
Jorhat,266,0.1776000933815804
Karimganj,244,0.2595647595647595
Cachar,255,0.3269758507135016
Nalbari,241,0.1607280048745595
Dhubri,242,0.3090465491820543
Dhemaji,248,0.1255874673629242
Goalpara,240,0.2424772923326736
Golaghat,262,0.2096307951260565
Barpeta,259,0.2447929386316854
Hailakandi,246,0.2529762771066802
Kokrajhar,265,0.2747638747950979
Kamrup,257,0.7007874015748031
Udalguri,261,0.1450199203187251
Chirang,247,0.5919366115124679
Karbi Anglong West,693,0.6423190745224644
Baksa,253,0.7859281437125748
Dima Hasao,264,0.734229576008273
Bokaro,152,0.259128408471614
Dumka,151,0.3298835305384782
Kodarma,144,0.2828398894946581
Pashchimi Singhbhum,140,0.2260465116279069
Gumla,154,0.3012019797313222
Godda,148,0.3547410692879405
Hazaribagh,141,0.2650420372852443
Lohardaga,146,0.2295027988146196
Dhanbad,150,0.2546369658850549
Giridih,145,0.3553811991117691
Purbi Singhbhum,143,0.3082238033255365
Jamtara,135,0.2338594994311718
Chatra,142,0.2756907008086253
Pakur,158,0.3025681009697383
Saraikela-Kharsawan,136,0.3586983966670874
Deoghar,153,0.3528984190441577
Palamu,149,0.3401417118525665
Simdega,137,0.1649502379922111
Latehar,138,0.2880996669117965
Garhwa,156,0.3468333038574152
Sahibganj,147,0.2053844845185437
Ranchi,157,0.3890529806121381
Ramgarh,155,0.3650392107260308
Khunti,139,0.4077032810271041
Patna,182,0.5515449610066346
Kaimur (Bhabua),186,0.4530372323623529
Samastipur,185,0.5312806332206762
Saran,171,0.310665125149458
Katihar,196,0.4706184715363574
Begusarai,194,0.4273965673620317
Banka,165,0.596531537831412
Purnia,161,0.4030110078718467
Purba Champaran,191,0.5453922416142925
Munger,189,0.5083225972687452
Madhepura,162,0.5395875042496128
Rohtas,187,0.5792647550062413
Khagaria,188,0.5124674437470647
Jamui,193,0.6542476161817532
Darbhanga,184,0.4720908771671934
Madhubani,180,0.4913819593820711
Lakhisarai,192,0.5757278560820467
Sheikhpura,172,0.5222464083587288
Saharsa,174,0.6240833262765687
Supaul,181,0.6759784978735347
Gopalganj,175,0.4676074350484399
Araria,168,0.5145455452708265
Kishanganj,163,0.4504031501968873
Buxar,179,0.5510884628710012
Nawada,167,0.3224220757457267
Pashchim Champaran,169,0.5913348005590451
Siwan,177,0.6550013854253256
Nalanda,195,0.7967268813299963
Sitamarhi,190,0.5572683255037185
Bhojpur,183,0.9323134455209928
Bhagalpur,160,0.8536457493144055
Gaya,164,0.8951367781155015
Jehanabad,173,0.914237085132537
Sheohar,178,0.9469175462750498
Muzaffarpur,170,0.9404460818480532
Vaishali,176,0.94751356238698
Rajsamand,531,0.2718267477871247
Alwar,648,0.4006749620011851
Dausa,538,0.2892024594152254
Jaipur,528,0.3312695646428188
Tonk,526,0.3048012090211578
Bikaner,523,0.2968343805118542
Ganganagar,520,0.297054335738485
Nagaur,518,0.2917429599696931
Udaipur,536,0.3914360768644938
Bundi,527,0.2553593134185421
Hanumangarh,517,0.2819994154655509
Baran,649,0.3170237438501289
Bharatpur,533,0.3176052203949327
Ajmer,532,0.2623906705539358
Jhunjhunun,514,0.2708185870334589
Pali,530,0.3181268965138471
Kota,529,0.298062364969464
Jalor,537,0.3412051317314682
Jhalawar,647,0.320767046168539
Pratapgarh,524,0.2127361511367275
Pratapgarh,605,0.2127361511367275
Pratapgarh,524,0.3183552805886481
Pratapgarh,605,0.3183552805886481
Dungarpur,534,0.200480695023263
Banswara,652,0.2762227350554604
Sirohi,539,0.3090059660974147
Barmer,519,0.3262531189791857
Karauli,653,0.3538251366120218
Chittaurgarh,535,0.3533039884532977
Bhilwara,525,0.3688047504262449
Jaisalmer,515,0.2606752608962553
Churu,522,0.3345126026760029
Dhaulpur,650,0.4002237970906378
Sikar,516,0.3529035805099306
Sawai Madhopur,651,0.267478256407625
Jodhpur,521,0.3990675906106011
Dharmapuri,557,0.3629533064707276
Pudukkottai,628,0.316113941364204
Tirunelveli,545,0.2208941876512848
Theni,551,0.1512610317858936
Namakkal,558,0.2571353817102165
Nagapattinam,631,0.3004625996447895
Kanniyakumari,634,0.2938311168082038
Tiruchirappalli,549,0.2613836719049444
Thoothukkudi,635,0.2702355124039151
Viluppuram,632,0.3239143672843168
Vellore,629,0.2105365009618996
Salem,552,0.2875681476427374
Chennai,630,0.3058509438219147
Virudhunagar,546,0.2407011162226739
Madurai,553,0.2727948549496905
The Nilgiris,646,0.2070843797905998
Thanjavur,542,0.2474567021122376
Coimbatore,645,0.3250087673620336
Karur,556,0.3548240050737276
Cuddalore,627,0.3381488338226295
Ramanathapuram,544,0.2480018221725266
Tiruvannamalai,543,0.3527968362874023
Perambalur,554,0.2608973578473152
Erode,644,0.2924417411422281
Thiruvarur,547,0.1712267708976205
Krishnagiri,643,0.283897331119908
Dindigul,555,0.2945894418512918
Puducherry,269,0.311156903149838
Sivaganga,541,0.2954203165821423
Ariyalur,540,0.215651271406331
Kancheepuram,633,0.3762334806789564
Thiruvallur,548,0.4608040661202436
Tiruppur,550,0.3165264205573652
Cuttack,501,0.508104857046458
Kendrapara,505,0.5870517280212217
Nuapada,510,0.4106834443622008
Ganjam,507,0.4808960043051258
Baleshwar,496,0.5510001105094485
Koraput,488,0.4458942851570119
Dhenkanal,499,0.4777609164938979
Khordha,493,0.6595607492258583
Gajapati,498,0.2408018360467618
Kalahandi,503,0.4786227463738647
Sambalpur,497,0.6350546358220955
Jharsuguda,511,0.7166618245206275
Kendujhar,506,0.5732221661320002
Jagatsinghapur,491,0.5633975481611209
Puri,485,0.5638345370978333
Sundargarh,508,0.5661203525230355
Balangir,513,0.5711117271971167
Bhadrak,509,0.5753950367670732
Jajapur,502,0.6100416088765603
Subarnapur,484,0.4703789437585733
Rayagada,512,0.2706113849578629
Nayagarh,500,0.5483193277310925
Kandhamal,492,0.3735233818217319
Baudh,504,0.4080269264113417
Mayurbhanj,494,0.6325975083947625
Anugul,486,0.6426530797925576
Bargarh,490,0.5670714138711669
Debagarh,487,0.3856648199445983
Malkangiri,495,0.527421357615894
Nabarangapur,489,0.4280507497116493
Kathua,83,0.3427205100956429
Udhampur,77,0.2937850422883208
Baramula,65,0.5278805437931803
Anantnag,64,0.1560787856175009
Srinagar,72,0.4055369070626928
Pulwama,74,0.2817860746720484
Ganderbal,76,0.347085201793722
Badgam,78,0.4097469289118614
Reasi,68,0.4041872637394591
Shupiyan,67,0.2873435088321042
Kupwara,80,0.5446768060836502
Punch,79,0.2982307547524939
Rajouri,69,0.6672064087267768
Ramban,75,0.3864186046511628
Doda,73,0.3878183402730706
Leh(Ladakh),71,0.4137404580152671
Leh(Ladakh),71,0.2664359861591695
Kargil,84,0.4638694638694638
Kargil,84,0.2922636103151863
Bandipore,82,0.5938834785580045
Jammu,70,0.6701803814890378
Kulgam,66,0.4028415614236509
Samba,81,0.7147843082507329
Kishtwar,85,0.2605230037756957
Allahabad,636,0.4464012133447426
Bareilly,575,0.3711474389623794
Gorakhpur,591,0.3637221937810798
Hardoi,578,0.4416277839241906
Chitrakoot,589,0.2151444813543302
Meerut,568,0.2900889239201714
Bahraich,563,0.3750571268978825
Ghaziabad,621,0.3564064547696499
Fatehpur,617,0.3476822161703125
Shrawasti,567,0.4654520786897955
Jaunpur,609,0.4465619366469225
Pilibhit,584,0.3397827562797013
Mainpuri,585,0.4985273028603814
Ambedkar Nagar,595,0.3826595256787954
Sitapur,565,0.3704382679271539
Auraiya,600,0.5276940382452193
Budaun,561,0.2848601902339257
Kanpur Nagar,597,0.533213516433488
Gautam Buddha Nagar,623,0.3216548767838445
Ballia,596,0.5380927396739819
Sant Ravidas Nagar (Bhadohi),598,0.3168868490148649
Lalitpur,641,0.4536338351397533
Lucknow,592,0.4650691842029403
Etah,577,0.2606616348459779
Muzaffarnagar,622,0.3984670277627065
Varanasi,604,0.3891108529510112
Ghazipur,642,0.528828006627739
Firozabad,587,0.4237838608019311
Agra,626,0.4106916540275498
Etawah,625,0.4396243728158372
Kushinagar,614,0.4183418986767038
Jyotiba Phule Nagar,586,0.3065816287496783
Bara Banki,610,0.3038057367357058
Kaushambi,602,0.4930858511635442
Mahoba,611,0.2372484980444336
Banda,639,0.3152630439489067
Kanshiram Nagar,562,0.3342634522387883
Deoria,615,0.6244265900623905
Mau,618,0.3703897042584376
Aligarh,569,0.3130643289144114
Azamgarh,593,0.407445171293167
Baghpat,572,0.3583699958194812
Basti,590,0.4402798115770717
Bijnor,571,0.3741150876442162
Bulandshahr,570,0.3503543536983435
Faizabad,594,0.3411415787910292
Gonda,607,0.5496841061173443
Kanpur Dehat,608,0.3408621653973415
Mahrajganj,612,0.4685607775823759
Mathura,576,0.2674704059201813
Moradabad,559,0.2404516848799446
Rae Bareli,619,0.322623412484342
Rampur,574,0.2306409893238103
Saharanpur,624,0.3872271852119043
