year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2010,1,1,117,6586,6703,4794742.0,728.0203461888855
2010,1,2,471,12477,12948,10581441.0,848.0757393604232
2010,1,3,1012,26692,27704,24386785.0,913.6364828413008
2010,1,4,867,17644,18511,13983406.0,792.5303785989571
2010,1,5,949,13453,14402,12429801.0,923.9426893629674
2010,1,7,769,22533,23302,18552188.0,823.3341321617183
2010,1,8,51,20119,20170,14730358.0,732.1615388438789
2010,1,9,4549,68068,72617,40314528.0,592.268437444908
2010,1,10,142,5963,6105,5402523.0,906.007546536978
2010,1,11,132,4468,4600,5009014.0,1121.0863921217547
2010,1,12,14,6634,6648,2088620.0,314.83569490503464
2010,1,13,739,11197,11936,11185803.0,999.0
2010,1,14,1140,23398,24538,16719046.0,714.5502179673476
2010,1,15,2156,19448,21604,17148969.0,881.7857363225011
2010,1,17,528,16582,17110,12577569.0,758.5073573754673
2010,1,18,608,13192,13800,9457254.0,716.8931170406307
2010,1,19,2520,34386,36906,25110781.0,730.2617635084046
2010,1,20,3098,34964,38062,29866521.0,854.2077851504405
2010,1,21,7742,37750,45492,31670454.0,838.9524238410596
2010,1,23,11641,71688,83329,70602005.0,984.8510908380761
2010,1,24,1722,14064,15786,10725785.0,762.6411405005688
2010,1,25,7953,55300,63253,46420676.0,839.4335623869802
2010,1,26,1935,31413,33348,29808744.0,948.9301881386687
2010,1,27,1191,32366,33557,19881893.0,614.2832911079528
2010,1,28,1331,18834,20165,16739503.0,888.791706488266
2010,1,29,671,16803,17474,12337676.0,734.254359340594
2010,1,30,2102,26556,28658,24269347.0,913.8931691519807
2010,1,31,1149,18876,20025,17445396.0,924.2104259376987
2010,1,32,206,8239,8445,4635187.0,562.5909697778857
2010,1,33,156,5142,5298,3133883.0,609.4677168416958
2010,1,34,1693,21531,23224,19136999.0,888.811434675584
2010,1,35,791,18392,19183,14167000.0,770.2805567638103
2010,1,36,261,9126,9387,7573270.0,829.8564540872234
2010,1,37,1559,20635,22194,10367887.0,502.4418221468379
2010,1,38,1205,5933,7138,5301090.0,893.4923310298332
2010,1,39,66,2571,2637,4444431.0,1728.6779463243874
2010,1,40,941,9224,10165,12610169.0,1367.1041847354727
2010,1,41,353,1961,2314,1395381.0,711.566037735849
2010,1,42,22,17468,17490,9682906.0,554.3225326310969
2010,1,43,18,33,51,69400.0,2103.030303030303
2010,2,2,281,7267,7548,6806290.0,936.6024494289253
2010,2,3,331,8130,8461,11138511.0,1370.0505535055352
2010,2,4,219,11753,11972,10964367.0,932.8994299327832
2010,2,5,309,14225,14534,11077150.0,778.7100175746924
2010,2,7,174,6259,6433,5496546.0,878.182776801406
2010,2,10,239,4651,4890,5455081.0,1172.8834659213073
2010,2,11,277,14463,14740,15077397.0,1042.4806056834682
2010,2,15,220,5196,5416,6994594.0,1346.1497305619707
2010,2,17,293,8643,8936,7917092.0,916.012032858961
2010,2,19,98,4413,4511,4172118.0,945.4153636981645
2010,2,20,520,19735,20255,19673085.0,996.8626805168483
2010,2,21,63,2801,2864,2565034.0,915.7565155301678
2010,2,23,358,8440,8798,9118539.0,1080.3956161137442
2010,3,1,1293,24914,26207,22874429.0,918.1355462792004
2010,3,2,342,16525,16867,8215528.0,497.1575189107413
2010,3,3,511,11282,11793,7655828.0,678.587839035632
2010,3,4,285,18193,18478,8813091.0,484.4220854174683
2010,3,5,2676,14610,17286,6435493.0,440.4854893908282
2010,3,6,204,10806,11010,6673910.0,617.6115121228947
2010,3,7,70,4850,4920,2438866.0,502.85896907216494
2010,3,8,120,5573,5693,3098979.0,556.0701596985466
2010,3,9,311,15623,15934,9101925.0,582.5977725148819
2010,3,10,303,19065,19368,9206145.0,482.88198269079464
2010,3,11,148,15141,15289,9123227.0,602.5511524998349
2010,3,12,118,16985,17103,8768827.0,516.2688843096851
2010,3,13,114,15053,15167,6936162.0,460.7827011226998
2010,3,14,338,21645,21983,8808816.0,406.9677061677062
2010,3,15,561,19651,20212,10595540.0,539.1857920716503
2010,3,16,374,11369,11743,5817343.0,511.68466883630924
2010,3,17,139,10633,10772,6467786.0,608.2748048528167
2010,3,18,939,23423,24362,14084359.0,601.3046578149682
2010,3,19,574,11740,12314,7588358.0,646.3678023850085
2010,3,20,4060,87359,91419,75281139.0,861.7445140168729
2010,3,21,3051,8741,11792,12163245.0,1391.5164168859399
2010,3,22,1346,20607,21953,13257308.0,643.3400300868636
2010,3,23,425,24658,25083,14517683.0,588.7615783924082
2010,3,24,436,3694,4130,6033996.0,1633.4585814834868
2010,3,25,129,4935,5064,3090211.0,626.1825734549138
2010,3,26,1236,26200,27436,18647971.0,711.7546183206107
2010,3,27,133,5172,5305,4661497.0,901.2948569218871
2010,3,28,831,6302,7133,6622976.0,1050.9324024119328
2010,3,29,372,7544,7916,4950243.0,656.1827942735949
2010,3,30,31,3927,3958,1645000.0,418.8948306595365
2010,4,1,60,6671,6731,4383850.0,657.1503522710238
2010,4,2,820,27927,28747,20662677.0,739.8817273606188
2010,4,3,218,6522,6740,8602646.0,1319.0196258816313
2010,4,4,589,24095,24684,21783071.0,904.0494293421872
2010,4,5,114,21026,21140,11610549.0,552.1996100066584
2010,4,6,181,9206,9387,11383858.0,1236.5694112535302
2010,4,7,78,6947,7025,4241299.0,610.5223837627753
2010,4,8,399,12065,12464,11151848.0,924.3139660174057
2010,4,9,2281,11746,14027,19779612.0,1683.9444917418696
