year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days
2012,1,1,285,6761,7046,4066491.0
2012,1,2,726,12006,12732,9751706.0
2012,1,3,2016,30116,32132,21444458.0
2012,1,4,2126,16340,18466,11209321.0
2012,1,5,1206,16170,17376,11354333.0
2012,1,7,1952,25427,27379,18332242.0
2012,1,8,424,28191,28615,14785717.0
2012,1,9,8692,39648,48340,26754024.0
2012,1,10,248,6867,7115,5859077.0
2012,1,11,218,5140,5358,4262196.0
2012,1,12,28,6214,6242,2368932.0
2012,1,13,1135,12639,13774,10396426.0
2012,1,14,2957,31514,34471,20394062.0
2012,1,15,1909,18148,20057,15520546.0
2012,1,17,1404,18224,19628,14086474.0
2012,1,18,1837,14935,16772,11309545.0
2012,1,19,3558,39300,42858,23987124.0
2012,1,20,4835,44245,49080,29044874.0
2012,1,21,13157,37932,51089,33186303.0
2012,1,23,15841,76485,92326,52505100.0
2012,1,24,2174,14107,16281,10122386.0
2012,1,25,11831,56101,67932,42316283.0
2012,1,26,4691,38126,42817,30564003.0
2012,1,27,2054,27593,29647,17062119.0
2012,1,28,2137,17979,20116,13048302.0
2012,1,29,1197,18564,19761,12334068.0
2012,1,30,4655,35774,40429,23041247.0
2012,1,31,2507,21131,23638,17055983.0
2012,1,32,366,7948,8314,4803268.0
2012,1,33,344,4473,4817,2661814.0
2012,1,34,3592,23014,26606,19313024.0
2012,1,35,2180,20899,23079,16190835.0
2012,1,36,784,10159,10943,7147664.0
2012,1,37,3046,28649,31695,12004522.0
2012,1,38,1596,5651,7247,4470472.0
2012,1,39,244,2672,2916,3358949.0
2012,1,40,1561,14898,16459,14616041.0
2012,1,41,191,2244,2435,2015307.0
2012,1,42,139,19336,19475,10174067.0
2012,1,43,22,74,96,102918.0
2012,2,2,599,15247,15846,11053317.0
2012,2,3,1065,13667,14732,12332302.0
2012,2,4,478,16654,17132,13963688.0
2012,2,5,744,24768,25512,16196145.0
2012,2,7,570,6925,7495,5913023.0
2012,2,10,582,9237,9819,9170411.0
2012,2,11,652,22956,23608,18880948.0
2012,2,15,621,7865,8486,8974298.0
2012,2,17,906,12333,13239,9047783.0
2012,2,19,240,4892,5132,4065758.0
2012,2,20,1259,20567,21826,17759893.0
2012,2,21,214,4822,5036,3953591.0
2012,2,23,874,12072,12946,11217928.0
2012,3,1,3276,39986,43262,24485975.0
2012,3,2,704,19336,20040,7945789.0
2012,3,3,905,17271,18176,8646064.0
2012,3,4,668,20147,20815,10967817.0
2012,3,5,1787,15388,17175,5817593.0
2012,3,6,655,14629,15284,7377306.0
2012,3,7,332,9464,9796,4094789.0
2012,3,8,161,8008,8169,2931230.0
2012,3,9,677,18894,19571,9615229.0
2012,3,10,653,19372,20025,7566877.0
2012,3,11,500,18514,19014,8551447.0
2012,3,12,488,26221,26709,9635655.0
2012,3,13,341,18572,18913,6373858.0
2012,3,14,720,24109,24829,8372106.0
2012,3,15,1699,29521,31220,12197501.0
2012,3,16,716,15272,15988,6220789.0
2012,3,17,290,17220,17510,7218643.0
2012,3,18,2610,35371,37981,14733294.0
2012,3,19,1206,15114,16320,7858469.0
2012,3,20,3847,145663,149510,69176612.0
2012,3,21,5939,17895,23834,13530825.0
2012,3,22,1968,26819,28787,13416383.0
2012,3,23,1073,31925,32998,13607873.0
2012,3,24,735,7597,8332,6744868.0
2012,3,25,193,7894,8087,3104109.0
