Name,Unique-ID,mean_decision_days
Nandurbar,468,428.1399778634676
Dhule,461,513.0925998154472
Jalgaon,474,515.6434203995417
Buldana,472,484.4428703439466
Akola,457,509.7168219217804
Amravati,467,523.4958168250183
Wardha,470,454.6695864659581
Nagpur,483,358.1494418566577
Bhandara,476,535.9599899067956
Gondiya,466,544.3907593332683
Gadchiroli,473,254.4560482768053
Chandrapur,456,480.836228092296
Yavatmal,459,484.1150127548331
Nanded,460,521.4871133699565
Parbhani,458,528.9766928965972
Jalna,478,534.9094990361
Aurangabad,166,408.0965006354623
Aurangabad,471,408.0965006354623
Aurangabad,166,667.8206362012332
Aurangabad,471,667.8206362012332
Nashik,452,487.0370504586414
Thane,479,507.3512916629534
Pune,465,487.3235399766846
Ahmadnagar,449,528.9067271449562
Bid,477,429.8303021898465
Latur,450,489.3530867252258
Osmanabad,453,472.610460513916
Solapur,451,468.25964875233166
Satara,462,492.41501365159473
Ratnagiri,469,410.01657805562047
Sindhudurg,454,359.4409830140947
Kolhapur,455,596.1125080799669
Sangli,463,492.6350303629852
Washim,448,537.0954536385855
Mumbai,481,304.959653858246
Anantapur,132,489.0006979665907
Chittoor,127,618.144044092773
East Godavari,124,515.5376241110652
Guntur,130,477.1848443352531
Kadapa(YSR),134,454.1576504411184
Kurnool,129,583.9606608232183
Krishna,123,545.751532119183
Sri Potti Sriramulu Nellore,126,715.2032969199827
Prakasam,122,527.5768426233542
Srikakulam,128,554.8933402168301
Visakhapatnam,125,573.0883016708872
Vizianagaram,131,519.8649875291328
West Godavari,133,579.8750625832675
Belgaum,444,373.505566299443
Bagalkot,437,306.9992053333657
Bijapur,428,342.4539778334472
Gulbarga,434,323.7930465154792
Bidar,432,250.9903225806452
Raichur,426,341.2450972313777
Koppal,445,289.59345064202734
Gadag,435,293.1545848911213
Dharwad,431,283.04032449821665
Uttara Kannada,429,310.3275679777098
Haveri,424,344.00461981805023
Bellary,440,247.3460709065025
Chitradurga,423,277.2556775039691
Davanagere,430,270.18636015636486
Shimoga,439,299.02756194051614
Udupi,436,231.25889667945492
Chikmagalur,422,316.5481006170976
Tumkur,443,288.4068106812646
Kolar,427,347.0541638598855
Bangalore,446,310.28828091895326
Bangalore Rural,442,326.96751308013086
Mandya,418,356.31075114350426
Hassan,438,269.9338220167721
Dakshina Kannada,425,283.2049841855694
Kodagu,441,303.38063553672094
Mysore,419,378.86471514141874
Chamarajanagar,433,337.5863605876371
Ramanagara,447,410.41370990484745
Chikkaballapura,420,331.94759697533254
Yadgir,421,309.2601124712945
Kasaragod,363,334.3266278965999
Ernakulam,361,498.8247894631177
Kannur,358,380.9687655849628
Thrissur,367,504.6957281599506
Kozhikode,365,335.0891494155313
Alappuzha,360,405.2159068004999
Idukki,364,427.6926238584121
Palakkad,368,388.795904195891
Thiruvananthapuram,369,599.0263707030575
Kottayam,366,308.27691337781454
Malappuram,370,390.12396511051344
Pathanamthitta,359,498.25675439254206
Lakshadweep,372,917.6766467065868
Kollam,362,555.4817298584612
Wayanad,371,282.65575317420866
Hamirpur,62,397.0341244668052
Hamirpur,606,397.0341244668052
Hamirpur,62,401.9395110858442
Hamirpur,606,401.9395110858442
Kangra,59,476.2062100456621
Sirmaur,53,329.87227190125765
Una,51,298.9852015668929
Solan,52,337.3147688536914
Mandi,61,356.7420624947642
Bilaspur,58,390.6567046966689
Bilaspur,321,390.6567046966689
Bilaspur,58,272.36322699652777
Bilaspur,321,272.36322699652777
Chamba,56,239.23637871130765
Kinnaur,54,453.3599950242568
Kullu,55,252.18692256192813
Shimla,57,257.55130541134184
Kamrup Metropolitan,263,487.091301408508
Tinsukia,245,390.18655602650585
Sivasagar,243,421.7975511534253
Morigaon,249,357.188289831109
Lakhimpur,251,370.7557765322727
Lakhimpur,251,582.3804226014026
Sonitpur,260,332.74199142744345
Dibrugarh,258,363.5972407902555
Darrang,256,535.4606715906496
Bongaigaon,252,458.3947346215509
Nagaon,254,407.5266805863487
Jorhat,266,339.213769347565
Karimganj,244,522.5594819253818
Cachar,255,511.1782363521462
Nalbari,241,314.5590592604054
