Name,Unique-ID,mean_decision_days
Nandurbar,468,187.68611187908948
Dhule,461,207.4188282647585
Jalgaon,474,244.91533017521832
Buldana,472,210.71298172715044
Akola,457,227.5383142429412
Amravati,467,233.9878071750568
Wardha,470,283.3222652900216
Nagpur,483,167.30110458416482
Bhandara,476,224.4755595344673
Gondiya,466,247.0515586511509
Gadchiroli,473,147.51597499902945
Chandrapur,456,199.2592649879354
Yavatmal,459,231.66435910431255
Nanded,460,188.3402561388338
Parbhani,458,251.64580674157304
Jalna,478,238.811302805132
Aurangabad,166,164.6520599530528
Aurangabad,471,164.6520599530528
Aurangabad,166,160.83614148627538
Aurangabad,471,160.83614148627538
Nashik,452,200.00141805481397
Thane,479,213.1626124670007
Pune,465,179.7092547183419
Ahmadnagar,449,207.44573337777308
Bid,477,201.9071627371317
Latur,450,200.1112525345213
Osmanabad,453,205.51169590643275
Solapur,451,198.9293772906146
Satara,462,170.13134616544983
Ratnagiri,469,208.4379535689786
Sindhudurg,454,161.8268362741075
Kolhapur,455,259.04153263157895
Sangli,463,210.19658364491616
Washim,448,282.4922346423979
Mumbai,481,159.07550025518734
Anantapur,132,276.24130750866107
Chittoor,127,312.0505340758209
East Godavari,124,269.3168493400328
Guntur,130,284.86982031536485
Kadapa(YSR),134,227.89177842090243
Kurnool,129,308.9437853349324
Krishna,123,269.59363270284194
Sri Potti Sriramulu Nellore,126,369.0996419311026
Prakasam,122,278.6719724429836
Srikakulam,128,267.57059058792163
Visakhapatnam,125,258.59746906912807
Vizianagaram,131,294.1709966113476
West Godavari,133,296.2426467860984
Belgaum,444,171.7208358663365
Bagalkot,437,148.17229543182054
Bijapur,428,142.60131632593627
Gulbarga,434,145.01340397230527
Bidar,432,138.44940019116558
Raichur,426,195.77400712007028
Koppal,445,162.34816608158818
Gadag,435,152.5706060890516
Dharwad,431,128.10996667390464
Uttara Kannada,429,181.5321388804535
Haveri,424,181.3849433210284
Bellary,440,121.5713832008702
Chitradurga,423,172.7455670103093
Davanagere,430,140.88399697160236
Shimoga,439,159.63878731526762
Udupi,436,97.7904731579953
Chikmagalur,422,157.36769064711223
Tumkur,443,130.58510314147293
Kolar,427,161.69396307822888
Bangalore,446,134.59106578108498
Bangalore Rural,442,107.26602437271356
Mandya,418,165.923715709295
Hassan,438,137.08373349339735
Dakshina Kannada,425,135.52013688201686
Kodagu,441,164.61883752158067
Mysore,419,187.6581762399864
Chamarajanagar,433,154.65653922105113
Ramanagara,447,176.49484791031242
Chikkaballapura,420,161.93647871553017
Yadgir,421,148.71744709339086
Kasaragod,363,214.03588600914745
Ernakulam,361,283.74360967238493
Kannur,358,180.01611876684998
Thrissur,367,295.69940269707746
Kozhikode,365,204.26120248890604
Alappuzha,360,214.04929973133383
Idukki,364,262.9456137339056
Palakkad,368,209.6442094221277
Thiruvananthapuram,369,294.7839526531809
Kottayam,366,220.05916930578024
Malappuram,370,247.02390102790255
Pathanamthitta,359,236.22207131117605
Lakshadweep,372,510.3611111111111
Kollam,362,275.1706167715328
Wayanad,371,187.12474283075116
Hamirpur,62,185.50922059846903
Hamirpur,606,185.50922059846903
Hamirpur,62,154.47687755698422
Hamirpur,606,154.47687755698422
Kangra,59,199.64858651873243
Sirmaur,53,128.82740167448284
Una,51,94.09812231940832
Solan,52,135.73024219976526
Mandi,61,134.6330669295497
Bilaspur,58,142.95834065740902
Bilaspur,321,142.95834065740902
Bilaspur,58,97.07040940413458
Bilaspur,321,97.07040940413458
Chamba,56,79.76675701620645
Kinnaur,54,153.39910247921725
Kullu,55,104.54115789239565
Shimla,57,103.68404433458257
Kamrup Metropolitan,263,202.7118707812902
Tinsukia,245,207.9088854591556
Sivasagar,243,263.0159910566735
Morigaon,249,218.06611345395183
Lakhimpur,251,235.04035656401945
Lakhimpur,251,254.08051019335065
Sonitpur,260,141.43437128701774
Dibrugarh,258,168.7126601081869
Darrang,256,276.1622376566511
Bongaigaon,252,311.0410703173615
Nagaon,254,214.83772824017024
Jorhat,266,203.95601861056983
Karimganj,244,271.9003773037295
Cachar,255,222.3083770614693
Nalbari,241,222.08384137815315
Dhubri,242,244.4759675706978
Dhemaji,248,187.85453274760383
Goalpara,240,189.70724492074123
Golaghat,262,211.8988429752066
Barpeta,259,248.69049882423576
Hailakandi,246,208.50057104467584
Kokrajhar,265,284.6213944288775
Kamrup,257,442.7302591922845
Udalguri,261,196.35953757225437
Chirang,247,500.5998789346247
Karbi Anglong West,693,137.07829614604464
Baksa,253,195.3150442477876
Dima Hasao,264,139.0331950207469
Bokaro,152,146.55297546300648
Dumka,151,111.5655077452668
Kodarma,144,156.09737286093034
Pashchimi Singhbhum,140,156.41857180686733
Gumla,154,169.20876585928488
Godda,148,92.2676451818762
Hazaribagh,141,120.79028116366
Lohardaga,146,175.7641723356009
Dhanbad,150,138.849593921015
Giridih,145,111.18217336600225
Purbi Singhbhum,143,141.00245647302188
Jamtara,135,138.69761208576998
Chatra,142,93.21600697851925
Pakur,158,153.95100983946142
Saraikela-Kharsawan,136,148.57406754565324
Deoghar,153,197.66580779562523
Palamu,149,140.04352590017757
Simdega,137,158.6993474714519
Latehar,138,138.1556864188443
Garhwa,156,109.59279570740944
Sahibganj,147,128.24225757319343
Ranchi,157,201.45241066799792
Ramgarh,155,110.90132480584742
Khunti,139,186.7253433208489
Patna,182,109.87688032552138
Kaimur (Bhabua),186,211.85432287681715
Samastipur,185,227.36919240124388
