,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days,case_pendency_rate,case_disposition_rate,judges_count,cases_per_judge
0,1,1,14773,54704,69477,23156331.0,423.30233620941794,0.2126315183442002,0.7873684816557998,159,436.9622641509434
1,1,2,35513,102277,137790,50439942.0,493.16994045582095,0.2577327817693591,0.7422672182306408,434,317.4884792626728
2,1,3,75051,251662,326713,122629889.0,487.2801177770184,0.2297153771046759,0.7702846228953241,4,81678.25
3,1,4,64830,143047,207877,66538531.0,465.1515306158116,0.3118671137259052,0.6881328862740947,509,408.4027504911591
4,1,5,59113,134313,193426,66299716.0,493.620989777609,0.3056104143186541,0.6943895856813458,500,386.852
5,1,7,79306,199508,278814,100098692.0,501.72771016701086,0.2844405230727295,0.7155594769272705,709,393.2496473906911
6,1,8,59406,177007,236413,78915592.0,445.8331704395872,0.2512805979366617,0.7487194020633383,801,295.14731585518103
7,1,9,166754,487687,654441,168476398.0,345.4600963322787,0.2548037179822169,0.7451962820177831,1997,327.71206810215324
8,1,10,18649,61599,80248,32386665.0,525.7660838649978,0.2323920845379324,0.7676079154620676,172,466.5581395348837
9,1,11,19765,49352,69117,26364284.0,534.209029016048,0.2859643792409971,0.7140356207590028,148,467.0067567567568
10,1,12,7690,57386,65076,14380525.0,250.59291464817204,0.1181695248632368,0.8818304751367632,96,677.875
11,1,13,62207,123656,185863,57891334.0,468.1643753639128,0.3346927575687469,0.6653072424312532,395,470.5392405063291
12,1,14,90905,231461,322366,108747549.0,469.83098232531614,0.281993138234181,0.718006861765819,456,706.9429824561404
13,1,15,67885,154902,222787,76670137.0,494.9589869724084,0.3047080844034885,0.6952919155965115,349,638.3581661891118
14,1,17,58936,145866,204802,75061177.0,514.5899455664788,0.2877706272399684,0.7122293727600316,583,351.28987993138935
15,1,18,46967,110669,157636,57387652.0,518.5521871526805,0.2979459006825852,0.7020540993174148,265,594.8528301886793
16,1,19,117200,305214,422414,119547646.0,391.6846737043517,0.2774529253291794,0.7225470746708206,1475,286.38237288135593
17,1,20,145331,300875,446206,141116436.0,469.0201445783133,0.325703822897944,0.674296177102056,1317,338.8048595292331
18,1,21,246138,345143,591281,166001365.0,480.9640207102563,0.4162792310255191,0.5837207689744809,1320,447.9401515151515
19,1,23,329835,640074,969909,331094425.0,517.2752291141337,0.3400679857594887,0.6599320142405112,119,8150.495798319328
20,1,24,63082,120454,183536,51056803.0,423.8697179006094,0.3437036875599337,0.6562963124400663,171,1073.3099415204679
21,1,25,239710,441930,681640,205805394.0,465.6968162378657,0.3516665688633296,0.6483334311366704,1227,555.5338223308884
22,1,26,134994,304582,439576,155419588.0,510.2717429132385,0.307100478643056,0.692899521356944,1287,341.55089355089353
23,1,27,73124,237914,311038,97444222.0,409.57750279512766,0.2350966762903568,0.7649033237096432,448,694.28125
24,1,28,60532,158120,218652,75882938.0,479.9072729572477,0.2768417393849587,0.7231582606150413,540,404.9111111111111
25,1,29,57279,155550,212829,71249873.0,458.0512568306011,0.2691315563198624,0.7308684436801376,384,554.2421875
26,1,30,118068,276112,394180,125698582.0,455.2449078634757,0.2995281343548632,0.7004718656451367,948,415.80168776371306
27,1,31,66851,186468,253319,87348316.0,468.43595683977946,0.2639004575258863,0.7360995424741137,625,405.3104
28,1,32,19186,66649,85835,26590893.0,398.9691218172816,0.2235218733616823,0.7764781266383177,371,231.36118598382748
29,1,33,10757,40573,51330,14251763.0,351.2622433638133,0.2095655562049483,0.7904344437950517,74,693.6486486486486
30,1,34,85920,164149,250069,93542921.0,569.8659205965312,0.3435851704929439,0.6564148295070561,673,371.5735512630015
31,1,36,27166,78427,105593,41227273.0,525.6770372448264,0.2572708418171659,0.7427291581828341,166,636.1024096385543
32,1,37,84259,254361,338620,74029668.0,291.0417398893698,0.24883054751639,0.75116945248361,1361,248.80235121234386
33,1,38,23486,37473,60959,23253231.0,620.532943719478,0.385275349005069,0.614724650994931,410,148.68048780487806
34,1,39,9337,15293,24630,16003610.0,1046.4663571568692,0.3790905399918798,0.6209094600081202,62,397.258064516129
35,1,40,54090,101860,155950,73775740.0,724.2856862360102,0.3468419365181148,0.6531580634818852,375,415.8666666666667
36,1,41,10418,25335,35753,12046127.0,475.4737319913164,0.2913881352613767,0.7086118647386234,45,794.5111111111111
37,1,42,37522,154744,192266,70011262.0,452.4328051491496,0.1951567099747225,0.8048432900252774,121,1588.9752066115702
38,1,43,984,1193,2177,786553.0,659.3067896060352,0.4519981626090951,0.5480018373909049,8,272.125
39,2,2,38023,125434,163457,60053387.0,478.7648245292345,0.2326177526811332,0.7673822473188667,174,939.4080459770115
40,2,3,45501,117774,163275,71763720.0,609.3341484538183,0.2786770785484612,0.7213229214515389,244,669.1598360655738
41,2,4,51585,157248,208833,79784347.0,507.3790890822141,0.2470155578859663,0.7529844421140337,353,591.5949008498584
42,2,5,58197,194180,252377,91334976.0,470.3624266144814,0.2305954980049687,0.7694045019950313,406,621.6182266009852
43,2,7,29322,88498,117820,39541192.0,446.8032271915749,0.2488711593956883,0.7511288406043116,183,643.8251366120219
44,2,10,45785,92705,138490,53316473.0,575.119713068335,0.3306014874720196,0.6693985125279803,254,545.2362204724409
45,2,11,53501,202747,256248,109576961.0,540.4615653992414,0.2087860197933252,0.7912139802066748,318,805.811320754717
46,2,15,31395,73449,104844,52157408.0,710.1173331154951,0.2994448895501888,0.7005551104498111,165,635.4181818181818
47,2,17,40044,102943,142987,53245423.0,517.2320896029842,0.2800534314308294,0.7199465685691706,324,441.3179012345679
48,2,19,15424,46536,61960,25370612.0,545.1824823792333,0.2489347966429954,0.7510652033570046,135,458.962962962963
49,2,20,55543,184359,239902,103896792.0,563.5569296861016,0.2315237055130845,0.7684762944869155,423,567.144208037825
50,2,21,17340,47472,64812,24219403.0,510.18290781934616,0.2675430475837808,0.7324569524162192,179,362.0782122905028
51,2,23,41558,113535,155093,64483381.0,567.9603734531202,0.2679553558187668,0.7320446441812332,201,771.6069651741293
52,3,1,111613,403486,515099,146201576.0,362.3460937925975,0.2166826182927942,0.7833173817072058,356,1446.9073033707866
53,3,2,33117,161076,194193,46923485.0,291.31270332017186,0.1705365280931856,0.8294634719068144,197,985.751269035533
54,3,3,41870,152196,194066,48005677.0,315.42009645457176,0.2157513423268372,0.7842486576731628,151,1285.205298013245
55,3,4,36688,195024,231712,60890635.0,312.2212394371975,0.1583344841872669,0.8416655158127331,199,1164.3819095477386
