year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days,case_pendency_rate
2010,26.0,1.0,20,2,22,187.0,93.5,0.9090909090909091
2010,26.0,2.0,12,0,12,0.0,,1.0
2010,26.0,3.0,56,2,58,187.0,93.5,0.9655172413793104
2010,26.0,4.0,72,1,73,0.0,0.0,0.9863013698630136
2010,26.0,5.0,30,0,30,0.0,,1.0
2010,26.0,6.0,25,0,25,0.0,,1.0
2010,26.0,8.0,23,4,27,640.0,160.0,0.8518518518518519
2010,26.0,9.0,80,4,84,239.0,59.75,0.9523809523809523
2010,26.0,10.0,31,0,31,0.0,,1.0
2010,26.0,11.0,22,0,22,0.0,,1.0
2011,26.0,1.0,64,0,64,0.0,,1.0
2011,26.0,2.0,92,0,92,0.0,,1.0
2011,26.0,3.0,136,0,136,0.0,,1.0
2011,26.0,4.0,168,4,172,768.0,192.0,0.9767441860465116
2011,26.0,5.0,94,1,95,150.0,150.0,0.9894736842105263
2011,26.0,6.0,77,2,79,56.0,28.0,0.9746835443037974
2011,26.0,7.0,7,0,7,0.0,,1.0
2011,26.0,8.0,68,6,74,888.0,148.0,0.918918918918919
2011,26.0,9.0,185,7,192,1590.0,227.14285714285714,0.9635416666666666
2011,26.0,10.0,79,0,79,0.0,,1.0
2011,26.0,11.0,72,0,72,0.0,,1.0
2012,26.0,1.0,107,0,107,0.0,,1.0
2012,26.0,2.0,173,2,175,765.0,382.5,0.9885714285714285
2012,26.0,3.0,258,0,258,0.0,,1.0
2012,26.0,4.0,358,6,364,953.0,158.83333333333334,0.9835164835164835
2012,26.0,5.0,182,3,185,1232.0,410.6666666666667,0.9837837837837838
2012,26.0,6.0,135,16,151,3966.0,247.875,0.8940397350993378
2012,26.0,7.0,22,0,22,0.0,,1.0
2012,26.0,8.0,115,20,135,2877.0,143.85,0.8518518518518519
2012,26.0,9.0,409,2,411,1426.0,713.0,0.9951338199513382
2012,26.0,10.0,155,0,155,0.0,,1.0
2012,26.0,11.0,141,0,141,0.0,,1.0
2013,26.0,1.0,203,0,203,0.0,,1.0
2013,26.0,2.0,350,1,351,531.0,531.0,0.9971509971509972
2013,26.0,3.0,407,0,407,0.0,,1.0
2013,26.0,4.0,597,7,604,2774.0,396.2857142857143,0.9884105960264901
2013,26.0,5.0,421,0,421,0.0,,1.0
2013,26.0,6.0,226,3,229,1501.0,500.3333333333333,0.9868995633187773
2013,26.0,7.0,88,0,88,0.0,,1.0
2013,26.0,8.0,232,13,245,3412.0,262.46153846153845,0.9469387755102041
2013,26.0,9.0,731,28,759,10160.0,362.85714285714283,0.9631093544137023
2013,26.0,10.0,258,0,258,0.0,,1.0
2013,26.0,11.0,237,0,237,0.0,,1.0
2014,26.0,1.0,443,1,444,126.0,126.0,0.9977477477477478
2014,26.0,2.0,813,17,830,3430.0,201.76470588235293,0.9795180722891567
2014,26.0,3.0,688,0,688,0.0,,1.0
2014,26.0,4.0,910,9,919,6595.0,732.7777777777778,0.9902067464635473
2014,26.0,5.0,817,1,818,7.0,7.0,0.9987775061124694
2014,26.0,6.0,458,5,463,1647.0,329.4,0.9892008639308856
2014,26.0,7.0,120,0,120,0.0,,1.0
2014,26.0,8.0,405,12,417,3218.0,268.1666666666667,0.9712230215827338
2014,26.0,9.0,1243,36,1279,15866.0,440.72222222222223,0.9718530101641908
2014,26.0,10.0,432,0,432,0.0,,1.0
2014,26.0,11.0,401,8,409,4978.0,622.25,0.980440097799511
2015,26.0,1.0,700,32,732,16122.0,503.8125,0.9562841530054644
2015,26.0,2.0,1373,43,1416,15885.0,369.4186046511628,0.969632768361582
2015,26.0,3.0,1110,0,1110,0.0,,1.0
2015,26.0,4.0,1234,58,1292,42866.0,739.0689655172414,0.955108359133127
2015,26.0,5.0,1222,129,1351,80005.0,620.1937984496124,0.9045151739452257
2015,26.0,6.0,827,9,836,1817.0,201.88888888888889,0.9892344497607656
2015,26.0,7.0,133,16,149,11823.0,738.9375,0.8926174496644296
2015,26.0,8.0,675,12,687,4107.0,342.25,0.982532751091703
2015,26.0,9.0,2011,62,2073,27503.0,443.5967741935484,0.97009165460685
2015,26.0,10.0,726,0,726,0.0,,1.0
2015,26.0,11.0,658,3,661,1285.0,428.3333333333333,0.9954614220877458
2016,26.0,1.0,964,216,1180,135039.0,625.1805555555555,0.8169491525423729
2016,26.0,2.0,1658,481,2139,295180.0,613.6798336798337,0.7751285647498831
2016,26.0,3.0,1434,373,1807,242983.0,651.4289544235925,0.7935805201992252
2016,26.0,4.0,1356,288,1644,262755.0,912.34375,0.8248175182481752
2016,26.0,5.0,1604,436,2040,269362.0,617.802752293578,0.7862745098039216
2016,26.0,6.0,1331,261,1592,127661.0,489.1226053639847,0.8360552763819096
2016,26.0,7.0,260,57,317,25730.0,451.4035087719298,0.8201892744479495
2016,26.0,8.0,985,228,1213,139236.0,610.6842105263158,0.8120362737015664
2016,26.0,9.0,2465,556,3021,390305.0,701.9874100719425,0.8159549817941079
2016,26.0,10.0,1045,186,1231,127254.0,684.1612903225806,0.8489033306255077
2016,26.0,11.0,1006,185,1191,126115.0,681.7027027027027,0.8446683459277917
2017,26.0,1.0,1169,283,1452,189566.0,669.8445229681979,0.8050964187327824
2017,26.0,2.0,1995,614,2609,412366.0,671.6058631921824,0.7646607895745496
2017,26.0,3.0,1475,610,2085,441710.0,724.1147540983607,0.7074340527577938
2017,26.0,4.0,1399,436,1835,409726.0,939.7385321100918,0.7623978201634878
2017,26.0,5.0,1872,624,2496,336477.0,539.2259615384615,0.75
2017,26.0,6.0,1522,564,2086,288179.0,510.95567375886526,0.7296260786193672
2017,26.0,7.0,344,97,441,72300.0,745.360824742268,0.780045351473923
2017,26.0,8.0,995,489,1484,323455.0,661.4621676891616,0.6704851752021563
2017,26.0,9.0,2727,967,3694,719264.0,743.8097207859358,0.7382241472658365
2017,26.0,10.0,1240,511,1751,323944.0,633.9412915851271,0.7081667618503712
2017,26.0,11.0,1400,664,2064,411828.0,620.222891566265,0.6782945736434108
2018,26.0,1.0,1272,456,1728,402763.0,883.2521929824561,0.7361111111111112
2018,26.0,2.0,1970,1089,3059,729471.0,669.8539944903581,0.6440013076168682
2018,26.0,3.0,1666,605,2271,445229.0,735.9157024793388,0.7335975341259358
2018,26.0,4.0,1899,400,2299,348344.0,870.86,0.8260113092648977
2018,26.0,5.0,1718,660,2378,468643.0,710.0651515151516,0.7224558452481077
2018,26.0,6.0,1685,865,2550,510080.0,589.6878612716763,0.6607843137254902
2018,26.0,7.0,513,123,636,80124.0,651.4146341463414,0.8066037735849056
2018,26.0,8.0,892,552,1444,394166.0,714.0688405797101,0.6177285318559557
2018,26.0,9.0,2965,847,3812,641140.0,756.9539551357733,0.777806925498426
2018,26.0,10.0,1120,657,1777,401949.0,611.7945205479452,0.6302757456387169
2018,26.0,11.0,1301,997,2298,541069.0,542.6970912738215,0.5661444734551784
