state_name,population,sex_ratio,women_population,male_population
Uttar Pradesh,199812341,912,95307978,104504363
Maharashtra,112374333,929,54119105,58255228
Bihar,104099452,918,49824450,54275002
West Bengal,91276115,950,44467850,46808265
Andhra Pradesh,84580777,993,42141852,42438925
Madhya Pradesh,72626809,931,35015825,37610984
Tamil Nadu,72147030,996,36001223,36145807
Rajasthan,68548437,928,32994268,35554169
Karnataka,61095297,973,30129611,30965686
Gujarat,60439692,919,28944281,31495411
Orissa,41974218,979,20764405,21209813
Kerala,33406061,1084,17376281,16029780
Jharkhand,32988134,948,16053773,16934361
Assam,31205576,958,15268101,15937475
Punjab,27743338,895,13103054,14640284
Chhattisgarh,25545198,991,12714862,12830336
Haryana,25351462,879,11859465,13491997
Delhi,16787941,868,7800820,8987121
Jammu and Kashmir,12541302,889,5902179,6639123
Uttarakhand,10086292,963,4948089,5138203
Himachal Pradesh,6864602,972,3383566,3481036
Tripura,3673917,960,1799469,1874448
Meghalaya,2966889,989,1475240,1491649
Manipur,2855794,985,1417106,1438688
Nagaland,1978502,931,953902,1024600
Goa,1458545,973,719292,739253
Arunachal Pradesh,1383727,938,669729,713998
Puducherry,1247953,1037,635310,612643
Mizoram,1097206,976,541939,555267
Chandigarh,1055450,818,474894,580556
Sikkim,610577,890,287520,323057
Andaman and Nicobar Islands,380581,876,177712,202869
Dadra and Nagar Haveli,343709,774,149960,193749
Daman and Diu,243247,618,92908,150339
Lakshadweep,64473,946,31341,33132
