state_code,state_name,dist_code,district_name
1,Maharashtra,1,Nandurbar
1,Maharashtra,2,Dhule
1,Maharashtra,3,Jalgaon
1,Maharashtra,4,Buldhana
1,Maharashtra,5,Akola
1,Maharashtra,7,Amravati
1,Maharashtra,8,Wardha
1,Maharashtra,9,Nagpur
1,Maharashtra,10,Bhandara
1,Maharashtra,11,Gondia
1,Maharashtra,12,Gadchiroli
1,Maharashtra,13,Chandrapur
1,Maharashtra,14,Yavatmal
1,Maharashtra,15,Nanded
1,Maharashtra,17,Parbhani
1,Maharashtra,18,Jalna
1,Maharashtra,19,Aurangabad
1,Maharashtra,20,Nashik
1,Maharashtra,21,Thane
1,Maharashtra,23,Mumbai CMM Courts
1,Maharashtra,24,Raigad
1,Maharashtra,25,Pune
1,Maharashtra,26,Ahmednagar
1,Maharashtra,27,Beed
1,Maharashtra,28,Latur
1,Maharashtra,29,Osmanabad
1,Maharashtra,30,Solapur
1,Maharashtra,31,Satara
1,Maharashtra,32,Ratnagiri
1,Maharashtra,33,Sindhudurg
1,Maharashtra,34,Kolhapur
1,Maharashtra,35,Sangli
1,Maharashtra,36,Washim
1,Maharashtra,37,Mumbai City Civil Court
1,Maharashtra,38,Mumbai Small Causes Court
1,Maharashtra,39,Mumbai Motor Accident Claims T
1,Maharashtra,40,Maharashtra Industrial and Lab
1,Maharashtra,41,Mah State Cooperative Appellat
1,Maharashtra,42,Maharashtra-Family Courts
1,Maharashtra,43,Maharashtra-School Tribunals
2,Andhra Pradesh,2,Ananthapur
2,Andhra Pradesh,3,Chittoor
2,Andhra Pradesh,4,East Godavari
2,Andhra Pradesh,5,Guntur
2,Andhra Pradesh,7,Kadapa
2,Andhra Pradesh,10,Kurnool
2,Andhra Pradesh,11,Krishna
2,Andhra Pradesh,15,Nellore
2,Andhra Pradesh,17,Prakasham
2,Andhra Pradesh,19,Srikakulam
2,Andhra Pradesh,20,Visakapatnam
2,Andhra Pradesh,21,Vizianagaram
2,Andhra Pradesh,23,West Godavari
3,Karnataka,1,BELAGAVI
3,Karnataka,2,BAGALKOT
3,Karnataka,3,VIJAYAPURA
3,Karnataka,4,KALABURAGI
3,Karnataka,5,BIDAR
3,Karnataka,6,RAICHUR
3,Karnataka,7,KOPPAL
3,Karnataka,8,GADAG
3,Karnataka,9,DHARWAD
3,Karnataka,10,UTTARA KANNADA
3,Karnataka,11,HAVERI
3,Karnataka,12,BALLARI
3,Karnataka,13,CHITRADURGA
3,Karnataka,14,DAVANGERE
3,Karnataka,15,SHIVAMOGGA
3,Karnataka,16,UDUPI
3,Karnataka,17,CHIKKAMAGALURU
3,Karnataka,18,TUMAKURU
3,Karnataka,19,KOLAR
3,Karnataka,20,BENGALURU
3,Karnataka,21,BENGALURU RURAL
3,Karnataka,22,MANDYA
3,Karnataka,23,HASSAN
3,Karnataka,24,DAKSHINA KANNADA
3,Karnataka,25,KODAGU
3,Karnataka,26,MYSURU
3,Karnataka,27,CHAMRAJNAGAR
3,Karnataka,28,RAMANAGARAM
3,Karnataka,29,CHIKKABALLAPUR
3,Karnataka,30,YADGIR
4,Kerala,1,Kasaragod
4,Kerala,2,Ernakulam
4,Kerala,3,Kannur
4,Kerala,4,Thrissur
4,Kerala,5,Kozhikode
4,Kerala,6,Alappuzha
4,Kerala,7,Idukki
4,Kerala,8,Palakkad
4,Kerala,9,Thiruvananthapuram
4,Kerala,10,Kottayam
4,Kerala,11,Malappuram
4,Kerala,12,Pathanamthitta
4,Kerala,13,Lakshadweep
4,Kerala,15,Kollam
4,Kerala,16,Wayanad
5,Himachal Pradesh,1,Hamirpur
5,Himachal Pradesh,2,Kangra
5,Himachal Pradesh,3,Sirmaur
5,Himachal Pradesh,4,Una
5,Himachal Pradesh,5,Solan
5,Himachal Pradesh,6,Mandi
5,Himachal Pradesh,7,Bilaspur
5,Himachal Pradesh,8,Chamba
5,Himachal Pradesh,9,Kinnaur
5,Himachal Pradesh,10,Kullu
5,Himachal Pradesh,11,Shimla
6,Assam,1,Kamrup Metro
6,Assam,2,Tinsukia
6,Assam,3,Sivasagar
6,Assam,4,Morigaon
6,Assam,5,Lakhimpur
6,Assam,6,Sonitpur
6,Assam,7,Dibrugarh
6,Assam,8,Darrang
6,Assam,9,Bongaigaon
6,Assam,10,Nagaon
6,Assam,11,Jorhat
6,Assam,12,Karimganj
6,Assam,13,Cachar
6,Assam,15,Nalbari
6,Assam,16,Dhubri
6,Assam,17,Dhemaji
6,Assam,18,Goalpara
6,Assam,19,Golaghat
6,Assam,20,Barpeta
6,Assam,21,Hailakandi
6,Assam,22,Kokrajhar
6,Assam,23,Kamrup
6,Assam,24,Udalguri
6,Assam,25,Chirang
6,Assam,26,Karbi Anglong
6,Assam,27,Baksa
6,Assam,28,Dima Hasao
7,Jharkhand,1,Bokaro
7,Jharkhand,2,Dumka
7,Jharkhand,3,Koderma
7,Jharkhand,4,West Singhbhum at Chaibasa
7,Jharkhand,5,Gumla
7,Jharkhand,6,Godda
7,Jharkhand,7,Hazaribagh
7,Jharkhand,8,Lohardaga
7,Jharkhand,9,Dhanbad
7,Jharkhand,10,Giridih
7,Jharkhand,11,East Singhbhum at Jamshedpur
7,Jharkhand,12,Jamtara
7,Jharkhand,13,Chatra
7,Jharkhand,14,Pakur
7,Jharkhand,15,Seraikella
7,Jharkhand,16,Deoghar
7,Jharkhand,17,Daltonganj
7,Jharkhand,18,Simdega
7,Jharkhand,19,Latehar
7,Jharkhand,20,Garhwa
7,Jharkhand,21,Sahibganj
7,Jharkhand,22,Ranchi
7,Jharkhand,23,RAMGARH
7,Jharkhand,24,KHUNTI
8,Bihar,1,Patna
8,Bihar,2,Kaimur at Bhabhua
8,Bihar,3,Samastipur
8,Bihar,4,Saran at Chapra
8,Bihar,5,Katihar
8,Bihar,6,Begusarai
8,Bihar,7,Banka
8,Bihar,9,Purnea
8,Bihar,10,Motihari
8,Bihar,11,Munger
8,Bihar,12,Madhepura
8,Bihar,13,Rohtas Sasaram
8,Bihar,14,Khagaria
8,Bihar,15,Jamui
8,Bihar,16,Aurangabad
8,Bihar,17,Darbhanga
8,Bihar,18,Madhubani
8,Bihar,19,Lakhisarai
8,Bihar,20,Sheikhpura
8,Bihar,21,Saharsa
8,Bihar,22,Supaul
8,Bihar,23,Gopalganj
8,Bihar,24,Araria
8,Bihar,25,Kishanganj
8,Bihar,26,Buxar
8,Bihar,27,Nawada
8,Bihar,28,Bettiah
8,Bihar,29,Siwan
8,Bihar,30,Nalanda
8,Bihar,31,Sitamarhi
8,Bihar,33,Bhojpur
8,Bihar,34,Bhagalpur
8,Bihar,35,Gaya
8,Bihar,36,Jehanabad
8,Bihar,37,Sheohar
8,Bihar,38,Muzaffarpur
8,Bihar,39,Vaishali
9,Rajasthan,1,Rajsamand
9,Rajasthan,2,Alwar
9,Rajasthan,3,Dausa
9,Rajasthan,4,Jaipur Metro
9,Rajasthan,5,Tonk
9,Rajasthan,6,Bikaner
9,Rajasthan,7,Ganganagar
9,Rajasthan,8,Merta (Nagaur)
9,Rajasthan,9,Udaipur
9,Rajasthan,10,Bundi
9,Rajasthan,11,Hanumangarh
9,Rajasthan,12,Baran
9,Rajasthan,13,Bharatpur
9,Rajasthan,14,Ajmer
9,Rajasthan,18,Jhunjhunu
9,Rajasthan,19,Pali
9,Rajasthan,20,Kota
9,Rajasthan,21,Jalore
9,Rajasthan,22,Jhalawar
9,Rajasthan,23,Pratapgarh
9,Rajasthan,24,Dungarpur
9,Rajasthan,25,Banswara
9,Rajasthan,26,Sirohi
9,Rajasthan,27,Balotra Barmer
9,Rajasthan,28,Jodhpur Metro
9,Rajasthan,29,Karauli
9,Rajasthan,30,Chittorgarh
9,Rajasthan,31,Bhilwara
9,Rajasthan,32,Jaiselmer
9,Rajasthan,33,Churu
9,Rajasthan,34,Dholpur
9,Rajasthan,35,Sikar
9,Rajasthan,36,Sawai Madhopur
9,Rajasthan,38,Jaipur District
9,Rajasthan,39,Jodhpur District
9,Rajasthan,40,Jaipur Metro II
10,Tamil Nadu,1,Dharmapuri
10,Tamil Nadu,2,Pudukkottai
10,Tamil Nadu,3,Tirunelveli
10,Tamil Nadu,4,Theni
10,Tamil Nadu,5,Namakkal
10,Tamil Nadu,6,Nagapattinam
10,Tamil Nadu,7,Kanniyakumari
10,Tamil Nadu,8,Tiruchirappalli
10,Tamil Nadu,9,Thoothukudi
10,Tamil Nadu,10,Viluppuram
10,Tamil Nadu,11,Vellore
10,Tamil Nadu,12,Salem
10,Tamil Nadu,13,Chennai
10,Tamil Nadu,14,Virudhunagar
10,Tamil Nadu,15,Madurai
10,Tamil Nadu,16,The Nilgiris
10,Tamil Nadu,17,Thanjavur
10,Tamil Nadu,18,Coimbatore
10,Tamil Nadu,19,Karur
10,Tamil Nadu,20,Cuddalore
10,Tamil Nadu,21,Ramanathapuram
10,Tamil Nadu,22,Tiruvannamalai
10,Tamil Nadu,23,Perambalur
10,Tamil Nadu,24,Erode
10,Tamil Nadu,25,Tiruvarur
10,Tamil Nadu,26,Krishnagiri
10,Tamil Nadu,27,Dindigul
10,Tamil Nadu,28,Puducherry
10,Tamil Nadu,29,Sivagangai
10,Tamil Nadu,30,Ariyalur
10,Tamil Nadu,31,Kancheepuram
10,Tamil Nadu,32,Tiruvallur
10,Tamil Nadu,33,Tiruppur
11,Orissa,1,Cuttack
11,Orissa,2,Kendrapada
11,Orissa,3,Nuapada
11,Orissa,4,Ganjam
11,Orissa,5,Balasore
11,Orissa,6,Koraput
11,Orissa,7,Dhenkanal
11,Orissa,8,Khurda
11,Orissa,9,Gajapati
11,Orissa,10,Kalahandi
11,Orissa,11,Sambalpur
11,Orissa,12,Jharsuguda
11,Orissa,13,Keonjhar
11,Orissa,14,Jagatsinghpur
11,Orissa,15,Puri
11,Orissa,16,Sundargarh
11,Orissa,17,Balangir
11,Orissa,18,Bhadrak
11,Orissa,19,Jajpur
11,Orissa,20,Sonepur
11,Orissa,21,Rayagada
11,Orissa,22,Nayagarh
11,Orissa,23,Kandhamal
11,Orissa,24,Boudh
11,Orissa,26,Mayurbhanj
11,Orissa,27,Anugul
11,Orissa,29,Bargarh
11,Orissa,30,Deogarh
11,Orissa,31,Malkangiri
11,Orissa,32,Nabarangpur
12,Jammu and Kashmir,1,Kathua
12,Jammu and Kashmir,2,Udhampur
12,Jammu and Kashmir,3,Baramulla
12,Jammu and Kashmir,4,Anantnag
12,Jammu and Kashmir,5,Srinagar
12,Jammu and Kashmir,6,Pulwama
12,Jammu and Kashmir,7,Ganderbal
12,Jammu and Kashmir,8,Budgam
12,Jammu and Kashmir,9,Reasi
12,Jammu and Kashmir,10,Shopian
12,Jammu and Kashmir,11,Kupwara
12,Jammu and Kashmir,12,Poonch
12,Jammu and Kashmir,13,Rajouri
12,Jammu and Kashmir,14,Ramban
12,Jammu and Kashmir,15,Doda
12,Jammu and Kashmir,16,Leh
12,Jammu and Kashmir,17,Kargil
12,Jammu and Kashmir,18,Bandipora
