district_name,Unique-ID,Name
Adilabad,664,Adilabad
Agar,696,Agar
Agra,626,Agra
Ahmedabad,89,Ahmadabad
Ahmednagar,449,Ahmadnagar
Aizawl,277,Aizawl
Ajmer,532,Ajmer
Akola,457,Akola
Alappuzha,360,Alappuzha
Aligarh,569,Aligarh
Alipurduar,715,Alipurduar
Alirajpur,39,Alirajpur
Allahabad,636,Allahabad
Almora,347,Almora
Alwar,648,Alwar
Ambala,217,Ambala
Ambedkar Nagar,595,Ambedkar Nagar
Amethi,620,Amethi
Amravati,467,Amravati
Amreli,99,Amreli
Amritsar,404,Amritsar
Anand,97,Anand
Ananthapur,132,Anantapur
Anantnag,64,Anantnag
Anjaw,232,Anjaw
Anugul,486,Anugul
Anuppur,48,Anuppur
Araria,168,Araria
Aravalli at Modasa,93,Aravali
Ariyalur,540,Ariyalur
Arwal,159,Arwal
Ashoknagr,1,Ashoknagar
Auraiya,600,Auraiya
Aurangabad,166,Aurangabad
Aurangabad,471,Aurangabad
Azamgarh,593,Azamgarh
Budgam,78,Badgam
BAGALKOT,437,Bagalkot
Bageshwar,354,Bageshwar
Baghpat,572,Baghpat
Bahraich,563,Bahraich
Baksa,253,Baksa
Balaghat,13,Balaghat
Balangir,513,Balangir
Balasore,496,Baleshwar
Ballia,596,Ballia
Balod,336,Balod
Balodabazar,335,Baloda Bazar
Balrampur,328,Balrampur
Balrampur,579,Balrampur
Banaskanth at Palanpur,95,Banas Kantha
Banda,639,Banda
Bandipora,82,Bandipore
BENGALURU,446,Bangalore
BENGALURU RURAL,442,Bangalore Rural
Banka,165,Banka
Bankura,391,Bankura
Banswara,652,Banswara
Barabanki,610,Bara Banki
Baramulla,65,Baramula
Baran,649,Baran
Purba Bardhaman,390,Barddhaman
Bareilly,575,Bareilly
Bargarh,490,Bargarh
Balotra Barmer,519,Barmer
Barnala,415,Barnala
Barpeta,259,Barpeta
Barwani,14,Barwani
Bastar,319,Bastar
Basti,590,Basti
Bathinda,407,Bathinda
BOTAD,91,Batod
Boudh,504,Baudh
Begusarai,194,Begusarai
BELAGAVI,444,Belgaum
BALLARI,440,Bellary
Bemetara,318,Bemetra
Betul,4,Betul
Bhadradri,655,Bhadradri
Bhadrak,509,Bhadrak
Bhagalpur,160,Bhagalpur
Bhandara,476,Bhandara
Bharatpur,533,Bharatpur
Bharuch,106,Bharuch
Bhavnagar,88,Bhavnagar
Bhilwara,525,Bhilwara
Bhind,29,Bhind
Bhiwani,203,Bhiwani
Bhojpur,183,Bhojpur
Bhopal,41,Bhopal
Beed,477,Bid
BIDAR,432,Bidar
Bijapur,333,Bijapur
VIJAYAPURA,428,Bijapur
Bijnor,571,Bijnor
Bikaner,523,Bikaner
Bilaspur,58,Bilaspur
Bilaspur,321,Bilaspur
Birbhum,389,Birbhum
Bishnupur,282,Bishnupur
Biswanath,691,Biswanath
Bokaro,152,Bokaro
Bongaigaon,252,Bongaigaon
Budaun,561,Budaun
Bulandshahr,570,Bulandshahr
Buldhana,472,Buldana
Bundi,527,Bundi
Burhanpur,47,Burhanpur
Buxar,179,Buxar
Cachar,255,Cachar
Central,713,Central
CHAMRAJNAGAR,433,Chamarajanagar
Chamba,56,Chamba
Chamoli,356,Chamoli
Champawat,348,Champawat
Champhai,275,Champhai
Chandauli,637,Chandauli
Chandel,279,Chandel
Chandigarh,218,Chandigarh
Chandrapur,456,Chandrapur
Changlang,227,Changlang
Charaideo,689,Charaideo
Chatra,142,Chatra
Chengalputtu,732,Chengalputtu
Chennai,630,Chennai
Chhatarpur,16,Chhatarpur
Chhindwara,3,Chhindwara
Chhota Udepur,90,Chhota Udaipur
CHIKKABALLAPUR,420,Chikkaballapura
CHIKKAMAGALURU,422,Chikmagalur
Chirang,247,Chirang
CHITRADURGA,423,Chitradurga
Chitrakoot,589,Chitrakoot
Chittorgarh,535,Chittaurgarh
Chittoor,127,Chittoor
Churachandpur,283,Churachandpur
Churu,522,Churu
Coimbatore,645,Coimbatore
Cuddalore,627,Cuddalore
Cuttack,501,Cuttack
Silvassa,121,Dadra & Nagar Haveli
Dantewada,326,Dakshin Bastar Dantewada
South Dinajpur,378,Dakshin Dinajpur
DAKSHINA KANNADA,425,Dakshina Kannada
Daman,86,Daman
Damoh,35,Damoh
Darbhanga,184,Darbhanga
Darjeeling,383,Darjiling
Darrang,256,Darrang
DATA NOT AVAILABLE,63,DATA NOT AVAILABLE
Datia,46,Datia
Dausa,538,Dausa
DAVANGERE,430,Davanagere
Deogarh,487,Debagarh
Dehradun,346,Dehradun
Deoghar,153,Deoghar
Deoria,615,Deoria
Devbhumi Dwarka at Khambhaliya,109,Devbhumi Dwarka
Dewas,24,Dewas
Dhalai Tripura,302,Dhalai
Dhamtari,338,Dhamtari
Dhanbad,150,Dhanbad
Dhar,36,Dhar
Dharmapuri,557,Dharmapuri
DHARWAD,431,Dharwad
Dholpur,650,Dhaulpur
Dhemaji,248,Dhemaji
Dhenkanal,499,Dhenkanal
Dhubri,242,Dhubri
Dhule,461,Dhule
Dibang Valley,234,Dibang Valley
Dibrugarh,258,Dibrugarh
Dima Hasao,264,Dima Hasao
Dimapur,297,Dimapur
Dindigul,555,Dindigul
Dindori,12,Dindori
Diu,87,Diu
Doda,73,Doda
Dahod,100,Dohad
Dumka,151,Dumka
Dungarpur,534,Dungarpur
Durg,331,Durg
East,706,East
Gangtok,376,East District
East Garo Hills,316,East Garo Hills
East Godavari,124,East Godavari
East Jaintia Hills,314,East Jaintia Hills
East Kameng,230,East Kameng
East Khasi Hills,309,East Khasi Hills
East Siang,687,East Siang
Ernakulam,361,Ernakulam
Erode,644,Erode
Etah,577,Etah
Etawah,625,Etawah
Faizabad,594,Faizabad
Faridabad,212,Faridabad
Faridkot,405,Faridkot
Farrukhabad,582,Farrukhabad
Fatehabad,211,Fatehabad
Fatehgarh Sahib,401,Fatehgarh Sahib
Fatehpur,617,Fatehpur
Fazilka,414,Fazilka
Firozabad,587,Firozabad
Ferozepur,413,Firozpur
GADAG,435,Gadag
Gadchiroli,473,Gadchiroli
Gajapati,498,Gajapati
Ganderbal,76,Ganderbal
GANDHINAGAR,116,Gandhinagar
Ganganagar,520,Ganganagar
Ganjam,507,Ganjam
Garhwa,156,Garhwa
Pauri Garhwal,350,Garhwal
Gariaband,322,Gariaband
Gaurella Pendra Marwahi,736,Gaurella Pendra Marwahi
