act,act_s,count
27.0,....12 of domestic violance act,31.0
68.0,1 DOMESTIC VIOLENCE,75.0
81.0,10.Protection of Women from Domestic Violence Act,312.0
150.0,12 Domestic Voilence ACT,785.0
154.0,12 OF D.V.C. ACT 2005,155.0
156.0,"12 R/W sec 17,18,19,20,22 Protection of Women DV ACT",51.0
159.0,12 of Domestic Violence Act,590.0
160.0,12 of Domestic violence act,26.0
163.0,12 of Protection of Women from  Domestic Violence Act,34.0
164.0,12 of Protection of Women from Domestic Violence Act,5.0
165.0,12 of the Protection of Women from Domestic Violence Act,7.0
166.0,12 of womens   domestic voilence Act,2.0
592.0,"18,19,20,21,22,23 DOMESTIC VIOLENCE ACT",49.0
713.0,"20  23  of Protection of Women from Domestic Violence Act 125 ,3",6.0
732.0,20(6)Domestic violence Act,4.0
751.0,2005 PWDV ACt Under section 9b and 32C,3.0
752.0,2005 PWDV Under section 12,22.0
753.0,2005 Under section 12 1 2 sub section 18 19 20 22,11.0
809.0,23 OF PROTECTION OF THE WOMEN FROM THE DOMESTIC VILENCE ACT 2005,10.0
810.0,23 READ WITH SEC 22 OF THE PROTECTION OF WOMEN FROM DOMESTIC VILENCE ACT,2.0
811.0,23(2) of the Protection of Women from Domestice Violence Act 2005,1.0
921.0,29 CL 1 PROTECTION OF WOMEN FROM D.V ACT 2005.,8.0
922.0,29 CL 4 OF THE PROTECTIO OF WOMEN FROM DV ACT.,1.0
923.0,29 OF THE PROTECTION OF WOMEN FROM DOMESTIC VIOLENCE ACT 2005,176.0
925.0,29 of the Protection of women from Domestic Violance Act 2005,67.0
1717.0,4Protection of Women from Domestic Violence Act,19.0
2435.0,APPLICATION UNDER SECTION 23 OF PROTECTION OF WOMEN FROM DOMESTIC VIOLENCE ACT 2005,3.0
5178.0,D V Act 2005,98.0
5179.0,D V Act 2005 U/sec  12 and 18,16.0
5204.0,"D.V. Act.,2005",19.0
5205.0,D.V.2005 Act,28.0
5261.0,DOMASTIC VIOLEANCE ACT 2005,6.0
5263.0,DOMESTIC  VIOLANCE ACT,441.0
5264.0,DOMESTIC VALOTION,32.0
5265.0,DOMESTIC VIOLANCE,58.0
5266.0,DOMESTIC VIOLANCE ACT,52.0
5267.0,"DOMESTIC VIOLANCE ACT, 2005",80.0
5268.0,DOMESTIC VIOLENCE,511.0
5269.0,DOMESTIC VIOLENCE 'SAFETY' ACT,8.0
5270.0,DOMESTIC VIOLENCE ACT,2319.0
5271.0,DOMESTIC VIOLENCE ACT 2005,6186.0
5272.0,"DOMESTIC VIOLENCE ACT, 2005",1170.0
5273.0,"DOMESTIC VIOLENCE ACT,2005",17.0
5274.0,DOMESTIC VIOLENCE ACT. 2005,677.0
5275.0,DOMESTIC VIOLENCE PREVENTION ACT,1.0
5276.0,DOMESTIC VOILANCE,302.0
5277.0,DOMESTIC VOILANCE   ACT,245.0
5278.0,DOMESTIC VOILANCE ACT,837.0
5279.0,"DOMESTIC VOILANCE ACT, 2005",12.0
5280.0,DOMESTIC VOILEANCE ACT 2005,26.0
5281.0,DOMESTIC VOILENCE,155.0
5282.0,DOMESTIC VOILENCE ACT,321.0
5283.0,DOMESTIC VOILENCE ACT 2005,253.0
5284.0,DOMESTIC VOILNENCE ACT 2005,11.0
5318.0,DV Act 2005 under section 12(1),13.0
5319.0,DV Act Prevention of Woman from Domastic Vilance act 2005,2066.0
5322.0,DVPC DOMESTIC VIOLENCE ACT,9.0
5596.0,Domastic Violance Protection Women 2005,31.0
5597.0,Domastic Violence Act,3.0
5601.0,Domest volience 2005,97.0
5602.0,Domestic  Violence Act,2015.0
5603.0,Domestic  Violence act,94.0
5604.0,Domestic Act,79.0
5605.0,Domestic Act 2005,3.0
5606.0,Domestic Act Violence,5.0
5608.0,Domestic Incident Report u/s 9 b and 37/2 c of the protection of women from Domestic Vilence Act,21.0
5609.0,Domestic Vialnce Act,13.0
5610.0,Domestic Vilence,87.0
5611.0,Domestic Vileness Act,5.0
5612.0,Domestic Violanance act 2005,13.0
5613.0,Domestic Violance,73.0
5614.0,Domestic Violance Act,2079.0
5615.0,Domestic Violance Act 2005,611.0
5616.0,"Domestic Violance Act, 2005",240.0
5617.0,Domestic Violation,237.0
5618.0,Domestic Violation Act,1.0
5619.0,Domestic Violenace Act,14.0
5620.0,Domestic Violence,59798.0
5621.0,Domestic Violence Act,45342.0
5622.0,Domestic Violence Act 12,209.0
5623.0,Domestic Violence Act 2005,3356.0
5624.0,Domestic Violence Act for Women,11.0
5625.0,"Domestic Violence Act, 2005",35.0
5626.0,"Domestic Violence Act,2005",654.0
5627.0,Domestic Violence Act.,99.0
5628.0,Domestic Violence Act. 2005,36.0
5629.0,Domestic Violence On Women Protection act,16.0
5630.0,Domestic Violence Original Petition,36.0
5631.0,Domestic Violence Protection Act 2005,156.0
5632.0,Domestic Violence Rules,67.0
5633.0,Domestic Violence act,704.0
5634.0,Domestic Violence act 2005,77.0
5635.0,"Domestic Violence and Woman Protection, 2002",1755.0
5636.0,Domestic Violence(P),13.0
5637.0,Domestic Violence/544,4.0
5638.0,Domestic Violencs Act,58.0
5639.0,Domestic Violent Act,1339.0
5640.0,Domestic Voilance,201.0
5641.0,Domestic Voilance Act,34.0
5642.0,Domestic Voilance Act 2005,399.0
5643.0,Domestic Voilence,3811.0
5644.0,Domestic Voilence ACt 2005,28.0
5645.0,Domestic Voilence Act,2582.0
5646.0,Domestic Voilence Act 12,1.0
5647.0,Domestic Voilence Act 2005,21.0
5648.0,"Domestic Voilence Act, 2005",26996.0
5649.0,Domestic Voilence Act-2005,2868.0
5650.0,Domestic Volince Act,24.0
5651.0,Domestic Women Violation Act,207.0
5652.0,Domestic Women Violence Act,156.0
5653.0,Domestic incident report v/s 9(b) and 37(c) of the protection of women from domestic violence act,1.0
5654.0,Domestic vilence act,155.0
5655.0,Domestic violence,694.0
5656.0,Domestic violence Act,276.0
5657.0,Domestic violence Act us12,7.0
5658.0,"Domestic violence Act, 2005",5.0
5659.0,Domestic violence Act.,1.0
5660.0,Domestic violence act,271.0
5661.0,Domestic violence act 2005 (12),81.0
5662.0,Domestic violence act.,17.0
5663.0,Domestic violence cases,7.0
5664.0,Domestic voilence 2005,21.0
5665.0,Domestic voilence Act,74.0
5666.0,Domestic voilence act,70.0
5667.0,Domestic voilence against women,267.0
5668.0,Domestic voivolance,10.0
5669.0,DomesticViolationAct,11.0
5670.0,DomesticViolence Act,268.0
5671.0,Domestice Violence act 2005,86.0
5672.0,Domestice Voilence Act,139.0
5673.0,Domestice violence Act,51.0
5674.0,Domestice voilence,148.0
5675.0,Domestict Voilence,133.0
5678.0,Domestiv Violence Act 2005.,2.0
5680.0,Domostic violence Act,2.0
5681.0,Domostic violence Act 2005,93.0
12269.0,P Usec 12 of the Protection of Women from the Domestic Violance Act,14.0
12323.0,P.W.D.V.Act2005,1.0
12444.0,PETITION UNDER 12 OF PROTECTION OF WOMEN FROM D.V. ACT,26.0
12452.0,PETITION UNDER SECTION 12 OF PROTECTION OF WOMEN FROM DOMESTIC VIOLENCE ACT 2005,10.0
12681.0,PROTCTION OF WOMEN FROM DOMESTIC VIOLENCE ACT-2005,6.0
12709.0,PROTECTION OF WOMEN FROM D.V.ACT,26.0
12710.0,PROTECTION OF WOMEN FROM DOMESTIC VIOLENCE,1.0
