state_code,state_name,population,sex_ratio,women_population,male_population
1,Maharashtra,112374333.0,929.0,54119105.0,58255228.0
2,Andhra Pradesh,84580777.0,993.0,42141852.0,42438925.0
3,Karnataka,61095297.0,973.0,30129611.0,30965686.0
4,Kerala,33406061.0,1084.0,17376281.0,16029780.0
5,Himachal Pradesh,6864602.0,972.0,3383566.0,3481036.0
6,Assam,31205576.0,958.0,15268101.0,15937475.0
7,Jharkhand,32988134.0,948.0,16053773.0,16934361.0
8,Bihar,104099452.0,918.0,49824450.0,54275002.0
9,Rajasthan,68548437.0,928.0,32994268.0,35554169.0
10,Tamil Nadu,72147030.0,996.0,36001223.0,36145807.0
11,Orissa,41974218.0,979.0,20764405.0,21209813.0
12,Jammu and Kashmir,12541302.0,889.0,5902179.0,6639123.0
13,Uttar Pradesh,199812341.0,912.0,95307978.0,104504363.0
14,Haryana,25351462.0,879.0,11859465.0,13491997.0
15,Uttarakhand,10086292.0,963.0,4948089.0,5138203.0
16,West Bengal,91276115.0,950.0,44467850.0,46808265.0
17,Gujarat,60439692.0,919.0,28944281.0,31495411.0
18,Chhattisgarh,25545198.0,991.0,12714862.0,12830336.0
19,Mizoram,1097206.0,976.0,541939.0,555267.0
20,Tripura,3673917.0,960.0,1799469.0,1874448.0
21,Meghalaya,2966889.0,989.0,1475240.0,1491649.0
22,Punjab,27743338.0,895.0,13103054.0,14640284.0
23,Madhya Pradesh,72626809.0,931.0,35015825.0,37610984.0
24,Sikkim,610577.0,890.0,287520.0,323057.0
25,Manipur,2855794.0,985.0,1417106.0,1438688.0
26,Delhi,16787941.0,868.0,7800820.0,8987121.0
27,Chandigarh,1055450.0,818.0,474894.0,580556.0
29,Telangana,84580777,993,42141852,42438925
30,Goa,1458545.0,973.0,719292.0,739253.0
31,Diu and Daman,243247,618,92908,150339
32,DNH at Silvasa,343709,774,149960,193749
33,Ladakh,60439692,919,28948432,31491260
