state_name,cases_per_judge
Punjab,1663.4536940686785
Chandigarh,1628.8478260869565
Kerala,1549.8994140625
Haryana,1513.4007748600948
Delhi,1410.5896877269429
Karnataka,1345.6647896654522
Himachal Pradesh,1132.993103448276
Bihar,1119.759142962689
Chhattisgarh,1055.294466403162
Goa,1049.4795539033455
Uttar Pradesh,1026.022049689441
West Bengal,1015.3237577639752
Tamil Nadu,1015.0727830451756
Madhya Pradesh,992.746950664482
Assam,856.3278335724534
Orissa,849.4549763033175
Rajasthan,846.7750046219264
Gujarat,816.5105003088327
Uttarakhand,781.3640040444894
Manipur,731.8230088495575
Telangana,659.369574378424
Andhra Pradesh,616.2840130991367
Jharkhand,477.93549802544976
Maharashtra,476.6594484457923
Jammu and Kashmir,408.3270509977827
Mizoram,234.95454545454547
Meghalaya,231.25
Tripura,230.2004504504505
Sikkim,212.31578947368425
