state_name,mean_disposition_days
Sikkim,117.83980276572868
Manipur,168.3815073815074
Meghalaya,211.48450115340253
Diu and Daman,239.9484810970384
Goa,264.53076971096823
Karnataka,298.261088712261
Mizoram,308.03186137506987
Ladakh,311.9150521609538
Himachal Pradesh,334.42793963340654
Chhattisgarh,353.14028701878743
Delhi,371.1755985146144
Haryana,379.238440887577
Uttarakhand,379.4151844529278
Punjab,385.5543048195821
Gujarat,401.9185135480618
Madhya Pradesh,414.24219020615016
Kerala,416.863249111714
Uttar Pradesh,421.36320926026497
Assam,423.98476366288895
Chandigarh,428.773168205701
Jharkhand,436.8973690717505
West Bengal,439.6620304145455
Jammu and Kashmir,441.49464696161823
Rajasthan,456.6557817953486
Maharashtra,463.85068915487335
DNH at Silvasa,469.8030283252839
Tamil Nadu,488.54969119811744
Tripura,490.46201283299627
Bihar,497.5708440202527
Andhra Pradesh,535.7520137308647
Telangana,582.2116156253493
Orissa,679.5701596862644
