state_name,cases_per_judge
Sikkim,212.2406015037594
Tripura,230.1261261261261
Meghalaya,231.02702702702703
Mizoram,234.95454545454547
Jammu and Kashmir,406.7139689578714
Maharashtra,474.17792835481424
Jharkhand,477.7626151820974
Andhra Pradesh,616.195891634415
Telangana,659.2376738305942
Manipur,730.5929203539823
Uttarakhand,779.9504550050556
Gujarat,815.2543236565781
Rajasthan,831.5562950637826
Orissa,847.451290152712
Assam,855.4088952654232
Madhya Pradesh,990.2341161478244
Tamil Nadu,1008.5200780814278
West Bengal,1013.616847826087
Uttar Pradesh,1021.7391304347826
Chhattisgarh,1030.4545454545455
Goa,1038.5241635687732
Himachal Pradesh,1112.6310344827589
Bihar,1119.436645733284
Karnataka,1341.2005631003644
Delhi,1409.5570079883803
Haryana,1511.964700817908
Kerala,1549.4856770833333
Chandigarh,1626.7536231884058
Punjab,1654.8194588969825
