state_name,mean_disposition_days
Sikkim,117.88350702814968
Manipur,168.7011608850041
Meghalaya,211.7363501858468
Goa,267.81541935973166
Karnataka,299.4780940994606
Mizoram,308.03186137506987
Himachal Pradesh,342.722931394416
Chhattisgarh,364.52796364046856
Delhi,371.5631268837257
Haryana,379.6861003779033
Uttarakhand,380.3841925365418
Punjab,388.01274545891874
Gujarat,402.6947075723384
Madhya Pradesh,415.6347801583297
Kerala,417.0148774477143
Uttar Pradesh,424.1998332738609
Assam,424.57956964753504
Chandigarh,429.4461316215365
Jharkhand,437.12510071056346
West Bengal,440.9321405924924
Jammu and Kashmir,444.5224026922823
Maharashtra,467.3175594018202
Rajasthan,468.87112711618215
Tripura,490.6641439686287
Tamil Nadu,493.0055170240208
Bihar,497.9072579489701
Andhra Pradesh,535.854551062212
Telangana,582.3813982132193
Orissa,683.0583975577413
