Old_name,id_1,Name,id_2
Adilabad,664,Adilabad,664
Agar,696,Agar,696
Agra,626,Agra,626
Ahmedabad,89,Ahmadabad,89
Ahmednagar,449,Ahmadnagar,449
Aizawl,277,Aizawl,277
Ajmer,532,Ajmer,532
Akola,457,Akola,457
Alappuzha,360,Alappuzha,360
Aligarh,569,Aligarh,569
Alipurduar,715,Alipurduar,715
Alirajpur,39,Alirajpur,39
Allahabad,636,Allahabad,636
Almora,347,Almora,347
Alwar,648,Alwar,648
Ambala,217,Ambala,217
Ambedkar Nagar,595,Ambedkar Nagar,595
Amethi,620,Amethi,620
Amravati,467,Amravati,467
Amreli,99,Amreli,99
Amritsar,404,Amritsar,404
Anand,97,Anand,97
Ananthapur,132,Anantapur,132
Anantnag,64,Anantnag,64
Anjaw,232,Anjaw,232
Anugul,486,Anugul,486
Anuppur,48,Anuppur,48
Araria,168,Araria,168
Aravalli at Modasa,93,Aravali,93
Ariyalur,540,Ariyalur,540
Arwal,159,Arwal,159
Ashoknagr,1,Ashoknagar,1
Auraiya,600,Auraiya,600
Aurangabad,166,Aurangabad,166
Aurangabad,471,Aurangabad,471
Azamgarh,593,Azamgarh,593
Budgam,78,Badgam,78
BAGALKOT,437,Bagalkot,437
Bageshwar,354,Bageshwar,354
Baghpat,572,Baghpat,572
Bahraich,563,Bahraich,563
Baksa,253,Baksa,253
Balaghat,13,Balaghat,13
Balangir,513,Balangir,513
Balasore,496,Baleshwar,496
Ballia,596,Ballia,596
Balod,336,Balod,336
Balodabazar,335,Baloda Bazar,335
Balrampur,328,Balrampur,328
Balrampur,579,Balrampur,579
Banaskanth at Palanpur,95,Banas Kantha,95
Banda,639,Banda,639
Bandipora,82,Bandipore,82
BENGALURU,446,Bangalore,446
BENGALURU RURAL,442,Bangalore Rural,442
Banka,165,Banka,165
Bankura,391,Bankura,391
Banswara,652,Banswara,652
Barabanki,610,Bara Banki,610
Baramulla,65,Baramula,65
Baran,649,Baran,649
Purba Bardhaman,390,Barddhaman,390
Bareilly,575,Bareilly,575
Bargarh,490,Bargarh,490
Balotra Barmer,519,Barmer,519
Barnala,415,Barnala,415
Barpeta,259,Barpeta,259
Barwani,14,Barwani,14
Bastar,319,Bastar,319
Basti,590,Basti,590
Bathinda,407,Bathinda,407
BOTAD,91,Batod,91
Boudh,504,Baudh,504
Begusarai,194,Begusarai,194
BELAGAVI,444,Belgaum,444
BALLARI,440,Bellary,440
Bemetara,318,Bemetra,318
Betul,4,Betul,4
Bhadradri,655,Bhadradri,655
Bhadrak,509,Bhadrak,509
Bhagalpur,160,Bhagalpur,160
Bhandara,476,Bhandara,476
Bharatpur,533,Bharatpur,533
Bharuch,106,Bharuch,106
Bhavnagar,88,Bhavnagar,88
Bhilwara,525,Bhilwara,525
Bhind,29,Bhind,29
Bhiwani,203,Bhiwani,203
Bhojpur,183,Bhojpur,183
Bhopal,41,Bhopal,41
Beed,477,Bid,477
BIDAR,432,Bidar,432
Bijapur,333,Bijapur,333
VIJAYAPURA,428,Bijapur,428
Bijnor,571,Bijnor,571
Bikaner,523,Bikaner,523
Bilaspur,58,Bilaspur,58
Bilaspur,321,Bilaspur,321
Birbhum,389,Birbhum,389
Bishnupur,282,Bishnupur,282
Biswanath,691,Biswanath,691
Bokaro,152,Bokaro,152
Bongaigaon,252,Bongaigaon,252
Budaun,561,Budaun,561
Bulandshahr,570,Bulandshahr,570
Buldhana,472,Buldana,472
Bundi,527,Bundi,527
Burhanpur,47,Burhanpur,47
Buxar,179,Buxar,179
Cachar,255,Cachar,255
Central,713,Central,713
CHAMRAJNAGAR,433,Chamarajanagar,433
Chamba,56,Chamba,56
Chamoli,356,Chamoli,356
